review,preprocessed_text,label_manual
"gimana ini strava , kok tidak bisa log in pakai WiFi ,masa harus pakai paket data terus",gimana strava pakai wifi pakai paket data,0
suka banget bagus cocok buat olahraga banyak pilihan olahraga,suka banget bagus cocok olahraga pilih olahraga,2
ga jelas mapsnya error. percuma dipremiumin tp hasilnya malah ga jelas.,mapsnya error dipremiumin hasil,0
"bagus, tapi masih banyak bug nya saya unduh hasil aktivitas nya malah nge bug jadi kecil kecil angka nya gakeliatan",bagus unduh hasil aktivitas angka gakeliatan,0
saya sudah masukan tanggal lahir sama aja salah,masuk tanggal lahir salah,0
"tolong strava , saya udh lari tapi hasilnya malah tidak ter save , awalnya ada bacaan ""memproses aktivitas"" , namun setelah saya tinggal tidur malah hilang dan hasil lari saya tidak ter save",tolong strava lari hasil save baca proses aktivitas tinggal tidur hilang hasil lari save,0
"dana saya kesedot tiba"" untuk pembayaran langganan strava padahal saya udah tidak memakai nya lagi saya ingin merefund mengapa tidak bisa?",dana sedot bayar langgan strava pakai merefund,0
"GPS nya suka melenceng, tolong untuk pihak maintenance segera diperbaiki",suka lenceng tolong maintenance baik,1
sangat membantu sekali untuk olah raga dan kegiatan sehari - hari 👍👍,bantu olah raga giat hari,2
tidak bisa masuk secara aplikasi maupun website. jujur aktifitas saya terganggu,masuk aplikasi website jujur aktifitas ganggu,0
"bayangin lu udah lari berkilo-kilo mau cek fisik seberapa kuat jarak lu lari, pas udah selesaikan aktifitas ternyata di profile ga ada alias kaga kerekam. ahelaaahh",bayangin lari berkilokilo fisik kuat jarak lari selesai aktifitas profile alias kaga rekam ahelaaahh,0
"bagus, membantu sekali memonitor pencapaian lari saya",bagus bantu monitor capai lari,2
"Update terbaru malah ngebug klo dipakein tws trs play musik di HP malah musiknya jadi mati idup sendiri, padahal biasanya engga, tolong diperbaiki lagi",update baru ngebug dipakein play musik musik mati idup engga tolong baik,1
"bagi pelari mungkin aplikasi ini sangat bagus,tapi bagi saya yang kurang suka olahraga lari tidak terlalu suka dengan aplikasi ini,tapi aplikasi ini rekomendasi sekali bagi pelari",lari aplikasi bagustapi suka olahraga lari suka aplikasi initapi aplikasi rekomendasi lari,2
"Usahakan gps, pace, dan cadence lebih akurat",usaha pace cadence akurat,2
aplikasi lari yg mudah digunakan,aplikasi lari mudah,2
"sebenrnya udah suka banget sama app ini,cuma pas saya sempet keluar untuk mengganti musik di app lain,dan saat sudah kembali ke app strava,yang ada malah tiba tiba keluar sendiri,dan dicoba sampai 5x dan didownload ulang pun tetap saja,tolong dong ubah bug seperti ini yaa dari pihak strava,agar menambah kenyamanan bagi para pengguna aplikasi ini,semoga di notice ☺️🙏🏽",sebenrnya suka banget inicuma sempet ganti musik laindan stravayang sendiridan coba didownload ulang sajatolong ubah stravaagar tambah nyaman guna aplikasi inisemoga notice,1
mantap membantu sekali,bagus bantu,2
saldo saya ketarik 600k lebih saya gak sengaja kepencet langganan bisa untuk mengembalikan uang itu,saldo tarik sengaja pencet langgan kembali uang,0
terbaiks,terbaiks,2
asyik...bagus secara visual,asyikbagus visual,2
tolong kembalikan uang saya min tiba2 ketarik 609.000 saya sangat membuatuhkan uang itu min. tidak ada pemberitahuan bahwa saya berlangganan tolong yaaaa,tolong kembali uang admin tarik membuatuhkan uang pemberitahuan langgan tolong yaaaa,0
aplikasi yg sangat membantu.. mohon di tambah fitur gratisnya..😁😁😁,aplikasi bantu mohon fitur gratis,2
"Aplikasi ny Bagus, Saya Sudah Coba, Semoga Banyak Yang Pake Kedepan Nya Lagi 👍",aplikasi bagus coba moga pake depan,2
ga bisa masuk eror trus,masuk eror trus,0
sangat bagus cocok buat pelari yang suka pamer buat setori 🔥,bagus cocok lari suka pamer setori,2
Bug login nya gajelas dah,login gajelas,0
apk nya eror ga bisa masuk dan tolong benerin masalah nya🙏,aplikasi eror masuk tolong benerin,0
woi kenapa strava saya eror kenapa ini,strava eror,0
Aplikasi ini sangat membantu bangeeeet 👍🏻👍🏻👍🏻,aplikasi bantu bangeeeet,2
"apakah ini apk offline,,dan kalau mulai rekam biasanya ngebug",aplikasi offlinedan rekam ngebug,0
sungguh aplikasi yang tidak bagus kerena tidak bisa si login,sungguh aplikasi bagus rena login,0
"cukup bagus, hanya 1 kekurangannya. hasil berlari malah menampilkan elevation gain bukannya pace. hal itu membuat saya kesal karena tidak bisa menemukan cara merubahnya",bagus kurang hasil lari tampil elevation gain pace kesal temu rubah,1
"Tolong di perbaiki keakuratan Pace dan jaraknya, sangat tidak akuratt bintang satu",tolong baik akurat pace jarak akuratt bintang,0
"sementara rating 1. karena app yg saya pakai setiap share activity maka gambarnya rusak, gak jelas. padahal sudah saya updates.",rating pakai share activity gambar rusak updates,0
"saya kecewa sama aplikasi ini, saya tidak pernah berlangganan dana saya malah ditarik, siapapun itu ada yang bisa bantu?",kecewa aplikasi langgan dana tarik bantu,0
"Bagus, apalagi yg berbayar😀",bagus bayar,2
sangat membantu untuk aktif berolahraga,bantu aktif olahraga,2
lambat diakses,lambat akses,0
App yang sangat membantu dalam memantau aktifitas olahraga,bantu pantau aktifitas olahraga,2
sangat memuaskan,muas,2
"sering terjadi masalah, aplikasi dibuka nggak bisa",aplikasi buka,0
"Untuk apk nya udah bagus,tinggal dibenerin bug nya aja,thanks strava",aplikasi bagustinggal dibenerin ajathanks strava,2
text jadi besar kurang estetik...,text estetik,2
di kenai biaya,kena biaya,0
"aplikasi aneh, saya udah hapus nih aplikasi tetep aja kepotong uang di e wallet, ga recommend duit ga bisa balik, costummer service nya juga ga layak, ga recommend nih aplikasi",aplikasi aneh hapus aplikasi tetep potong uang wallet recommend duit costummer service layak recommend aplikasi,0
"hati"" kalian, ini apk bisa ambil saldo otomatis, tiba saldo dana gw di ambil 600 rb buat langganan,padahal gw gak pernah klik buat langganan",hati aplikasi ambil saldo otomatis saldo dana ambil langgananpadahal klik langgan,0
sangat membantu menghitung jarak untuk saya yang bener bener pemula,bantu hitung jarak bener bener mula,2
Banyak improvementnya,improvementnya,2
Saldo dana saya berkurang tanpa sepengetahuan saya. kenapa tiba-tiba aplikasinya jadi langganan berbayar tanpa sepengetahuan saya. Padahal saya tidak membeli atau melakukan transaksi apapun secara pribadi. Saya meminta pertanggung jawaban dari developer untuk kembalikan saldo dana saya. atau saya viralkan masalah ini ke media sosial,saldo dana kurang tahu tibatiba aplikasi langgan bayar tahu beli transaksi pribadi tanggung developer kembali saldo dana viralkan media sosial,0
Developer tolong dialihkan sistem OAuth,developer tolong alih sistem oauth,2
"aplikasi yang berguna untuk lari, tetapi kenapa saat saya login ulang, di halaman aplikasi tertulis server eror, itu sangat menggangu sehingga saya perlu menggunakan vpn agar kembali normal. tolong di perbaiki. terima kasih🙏",aplikasi guna lari login ulang halaman aplikasi tulis server eror menggangu normal tolong baik terima kasih,2
terima kasih,terima kasih,2
"strava tolol capek2 gowes di tengah jalan gak record, percuma langganan,auto jeda gak jelas",strava tolol capek gowes jalan record langgananauto jeda,0
kecewa karena pace tidak kelihatan saat dishare padahal udah disetting sedemikian rupa tolong perbaiki masalah ini,kecewa pace dishare disetting rupa tolong baik,1
"saya puas dengan aplikasi ini , semuanya terukur dengan benar",puas aplikasi ukur,2
sesuai km,sesuai,2
"Bagus banget, akurasi tinggi. Tercatat dengan lengkap smw",bagus banget akurasi catat lengkap,2
bikin olahraga tambah keren tambah semangat,bikin olahraga bagus semangat,2
mantab. sudah 8 tahun jadi pengguna,mantab guna,2
saya suka sekali dengan aplikasi ini karena bisa membuat lari adek saya makin konsisten makasih,suka aplikasi lari adek konsisten makasih,2
bermanfaat untuk segala aktivitas olahraga semoga bertambah berkembang lebih baik lagi,manfaat aktivitas olahraga moga tambah kembang,2
apk GK jls GK akurat ke anjg,aplikasi akurat anjg,0
"gak bisa daftar, tulisannya error terus padahal jaringan dan memori aman",daftar tulis error jaring memori aman,1
sangat jelek,jelek,0
Memproses vidio ke story IG sangat lama tolong segera di perbaiki. Terimakasih,proses vidio story tolong baik terimakasih,0
terkadang record nya ndak fungsi..,terkadang record ndak fungsi,2
sangat membantu aktivitas lari kami,bantu aktivitas lari,2
gak jelas aku gak berlanggannan malah di ambil 33.300k,berlanggannan ambil,0
"strava selalu gagal login kenapa ya ,,,selalu ada masalah dengan server strava",strava gagal login server strava,0
kenapa satrva saya tidak bisa bagikan aktivitas min? tapi kalo yang dulu bisa kasih saran dong klo pengen ke bagikan aktivitas malahan ada tulisan bagikan via itu gimana ya terimakasih,satrva bagi aktivitas kalo kasih saran bagi aktivitas tulis bagi gimana terimakasih,0
aplkasi terbaik buat record olahraga,aplkasi baik record olahraga,2
saya ingin pengajuan pembatalan paket namun tidak diterima,batal paket terima,0
Habis update GPS sering tidak terdeteksi. mohon untuk segera diatasi problem ini,habis update deteksi mohon atas problem,0
tolong di perbaiki soalnya sering sekali saya lari makek apk strava di peta selalu keluar jalur padahal sinyal bagus bagus saja,tolong baik lari makek aplikasi strava peta jalur sinyal bagus bagus,0
"kok dana aku ke tarik sendiri kak, tiba tiba banget berlangganan 😭🙏",dana tarik banget langgan,0
Udah bayar langganan tapi tidak bisa menggunakan fiturnya,bayar langgan fiturnya,0
GK bisa lihat jam berhenti aktifitas,lihat henti aktifitas,2
apk gj masa saya lari jauh² di anggap 3meter,aplikasi lari anggap meter,0
mantul,mantul,2
worth it untuk pelari,worth lari,2
"""aplikasi tidak berfungsi dengan baik saat saya membukanya"", saya ingin dana pembelian dikembalikan terimakasih",aplikasi fungsi buka dana beli kembali terimakasih,0
"untuk pengguna awam, dan baru baru ini pakai sangat penting dan bagus. jadi termonitor jarak lari, jantung dll cuman sayangnya untuk pairing ke redmi watch 5 lite agak telat",guna awam pakai bagus monitor jarak lari jantung cuman sayang pairing redmi watch lite telat,2
Mantap Mentonk....,bagus mentonk,2
"kadang error ya kalau di pakein di android, jadi waktu total sama waktu kecepatannya beda 😭😭",kadang error pakein android total cepat beda,2
bagus banget si tapi ya emang bagus,bagus banget emang bagus,2
"masih ada bug,yaitu ada di perhitungan jarak yang seharusnya dihitung jadi tidak dihitung,saya gak mood untuk berlari,apalagi saya udah susah nge push lari sampai saya paksa tapi stravanya malah error,errornya saat menekan selesaikan malah dihitung ulang padalah saya sudah simpan tapi dihitung ulang karena bug",bugyaitu hitung jarak hitung dihitungsaya mood berlariapalagi susah push lari paksa stravanya errorerrornya tekan selesai hitung ulang pada simpan hitung ulang,0
suka dah,suka,2
kok GPSnya suka error,gpsnya suka error,2
"kenapa tidak bisa save,, apakah tengah gangguan,,???",save ganggu,0
saya baru pertama kali pake apk ini tapi kok menurut saya pribadi kurang akurat saat mengukur jarak dan pace,kali pake aplikasi pribadi akurat ukur jarak pace,2
cocok untuk yg suka running,cocok suka running,2
tolong kembalikan uang saya tiba² ketarik otomatis di akun DANA saya sebesar 609.390 itu sepertinya tidak di sengaja kepencet fitur langanan nya saya mohonlah kembalikan uang saya itu untuk saya sekolah,tolong kembali uang tarik otomatis akun dana sengaja pencet fitur langanan mohon kembali uang sekolah,0
bantu monitor olah raga,bantu monitor olah raga,2
starva kenapa sih aplikasi udah di hapus blm di pake sama sekali aplikasi nya tiba² saldo ke Potong 700rb,starva aplikasi hapus pake aplikasi saldo potong,0
sering eror ini aja ga bisa dibuka apk nya eror mohon cepat di perbaiki,eror buka aplikasi eror mohon cepat baik,1
akhir² ini ngelag.. di klik selesai nggak bisa,ngelag klik selesai,0
aplikasi yg mudah saat olaraga,aplikasi mudah olaraga,2
tidak bisa bikin akun,bikin akun,0
bagussss,bagussss,2
"tolong kembalikan uang saya 609,390 saya tidak merasa berlangganan di apk ini, TOLONG SEKALI LAGI KEMBALI UANG SAYA!!!",tolong kembali uang langgan aplikasi tolong uang,0
"Tolong untuk admin strava kembalikan dana saya senilai Rp609.390,00 dikarenakan saya merasa tidak berlangganan akses premium di aplikasi strava.",tolong admin strava kembali dana nila langgan akses premium aplikasi strava,0
Tolong diperbaiki lagi min. udah brapa kali bolak balik unistal selalu eror gabisa login kdang mau seringnya tiba2 eror,tolong baik brapa kali bolak unistal eror gabisa login kdang eror,0
Saldo dana saya sebesar 609.000 di ambil tanpa sepengetahuan saya dan tanpa ada proses apapun. Mohon terima pengajuan saldo dana saya dan segera di kembalikan.,saldo dana ambil tahu proses mohon terima saldo dana kembali,0
"Aplikasi Strava ini bagus dan cukup membantu dalam mengukur jarak dan intensitas olahraga. Walaupun hasil dari Strava berbeda jauh dibandingkan dengan Smartwatch, aplikasi ini tetap menjadi solusi untuk yang tidak mempunyai Smartwatch dan hanya berbekal Hp 👍",aplikasi strava bagus bantu ukur jarak intensitas olahraga hasil strava beda banding smartwatch aplikasi solusi smartwatch bekal,2
tolong strava masaa jarak sama Pace tidak berjalan,tolong strava masaa jarak pace jalan,1
Membuat rugi usaha umkm,rugi usaha umkm,0
woyy aplikasi lu benerin eror mulu saat mau masukk,woyy aplikasi benerin eror mulu masukk,0
"kebanyakan perintah login nya gak bisa padahal benar gak cocok di instal,buang² data aja aplikasi bodoh",banyak perintah login cocok instalbuang data aplikasi bodoh,0
"challenge strava bulan mei sudah selesai, tapi masih muncul di menu challenge, kepencet joined jadi hilang challengenya dipencet challenge lagi sudah gak bisa. asem.. sia2 GF bulan mei.",challenge strava selesai muncul menu challenge pencet joined hilang challengenya pencet challenge asem,0
aplikasinya lumayan membantu tapi tidak bisa connect langsung ke smartband xiaomi hanya bisa lewat aplikasi ke3,aplikasi lumayan bantu connect langsung smartband xiaomi aplikasi,2
enggak berlangganan tapi saldo kesedot bgsat!! jumlah yang di sedot banyak pula,langgan saldo sedot bgsat sedot,0
"Tolong kembalikan dana berlangganan sebesar 609.390, karena saya tidak merasa berlangganan. Mohon secepatnya di proses pengembalian dananya.",tolong kembali dana langgan langgan mohon cepat proses kembali dana,0
error di hp samsung tidak bisa login,error samsung login,0
ok semoga bermanfaat,moga manfaat,2
"Klau bisa free dongs, jangan berbayar aplikasinya. Tp ada iklan tidak apa2..",klau free dongs bayar aplikasi iklan,2
Keren banget aplimasinya,bagus banget aplimasinya,2
terbaikk,terbaikk,2
sangat membantu dalam me-record aktivitas seperti lari dan jalan,bantu merecord aktivitas lari jalan,2
aplikasi nya bagus banget buat pemula yang mau lari tapi kelemahan nya jarak nya agak sedikit kurang tepat semoga bisa lebih baik lagi yaa kedepannya,aplikasi bagus banget mula lari lemah jarak moga depan,2
Bagus dan berguna untuk berolahraga diluar rumah,bagus guna olahraga luar rumah,2
"tolong ini kenapa ya kalo saya inggin membuka strava ini kok tiba"" kayak login ulang terus, dan pas mau di koginin itu enggak bisa ( eror ) mohon segera di perbaiki ya..",tolong kalo inggin buka strava kayak login ulang koginin eror mohon baik,1
mantul terbaik,mantul baik,2
"sudah d download dan isi daftar tapi gagal terus pdhal sudah sesuai, gak jelas banget",download daftar gagal pdhal sesuai banget,0
"tolong strava balikin saldo dana saya yang otomatis berlangganan ke apk strava saya gatau tiba"" saldo saya kesedot sendiri",tolong strava balikin saldo dana otomatis langgan aplikasi strava gatau saldo sedot,1
"mapsnya belok kiri kanan atas bawah min itu knapa dah ,kadang baru lari 1 km di strava sdh 2km ,tolong perbaiki min🙏🏻🙏🏻",mapsnya belok kiri kanan admin knapa kadang lari strava tolong baik,1
"masak iya saya jogging speed keong tercatat pace 3, gps sering error, tp error yg bagus 👍🏼",masak jogging speed keong catat pace error error bagus,2
"otomatis bayar padahal trial doang, ga ada notifikasi, parah bgt",otomatis bayar trial doang notifikasi parah banget,0
"ini strava eror kah, aku buka apknya terus ke close sendiri",strava eror buka apknya close,2
Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah berlangganan dan tidak mengaktifkan untuk berlangganan. tiba tiba dapatkan notifikasi dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. JANGAN JADI APLIKASI SCAM!I,tolong kembali dana langgan aktif langgan dapat notifikasi dana potong tolong kembali cepat selesai aplikasi scami,0
strava bapukk.... udh capek2 olahraga ehh gak ke detect jaraknya.. mapsnya padahal selalu konek.. trus udh konek ke smart watch jg tp tetep ga kebaca. payaahh.,strava bapukk capek olahraga detect jarak mapsnya konek trus konek smart watch tetep baca payaahh,0
"kepotong otomatia padahal dana udh gak cukutl di CC, saldo dan pulsa tapi malah pindah sendiri metode pembayarannya ke ovo aplikasi penyedot uang user gini banget cari duitnya",potong otomatia dana cukutl saldo pulsa pindah metode bayar aplikasi sedot uang user banget cari duit,0
"kecewa banget sama aplikasi ini. main tarik uang di dana saya tidak pernah berlangganan selama setahun tiba tiba saldo nya kelotong sendiri 609 uang hasil kerja keras mbalah kepotong ,dan di jam itu juga saya tidak pegang hp tiba2 kebayar sendiri ,toling balikin uang saya kasian yang sudah ketipu sp aplikasi ini kecewa bangettt nyari uang gamudah mbalah diginiin udah pengajuan gabisa!!!!",kecewa banget aplikasi main tarik uang dana langgan tahun saldo lotong uang hasil kerja keras mbalah potong pegang bayar toling balikin uang kasi tipu aplikasi kecewa bangettt nyari uang gamudah mbalah diginiin gabisa,0
"kenapa tidak bisa login ya, sudah 3-4 hari seperti ini",login,2
"aplikasi sering eror, rute tidak terekam. sering close sendiri tidak bisa dibuka. mohon diperbaiki. meskipun begitu ini aplikasi favorite saya",aplikasi eror rute rekam close buka mohon baik aplikasi favorite,1
"Mantap, dapet promo gratis selama 30 hari",mantap dapet promo gratis,2
"apaan cok candance harus nya di sesuaikan dlu masa pace kecil candance nya di bawah 150 sedangkan tb 160, candance nya sesuaikan sama pace + tb aja dah yang di tanyakan di awan",candance sesuai pace candance candance sesuai pace awan,0
strava tidak akurat👎👎,strava akurat,0
aplikasi sering eror,aplikasi eror,0
"maaf saya minta pengembalian dana gopay saya yg trpotong 600 K . saya TDK pernah tau berlangganan aplikasi ini saya mohon dikembalikan dana saya , terimakasih.semoga ada kebijakan untuk pengembalian dana gopay saya.saya. tidak tahu kenapa bisa berlangganan padahal saya tidak pernah tau aplikasi ini saya mohon kembalikan dana saya di gopay karena sangat membutuhkan uang dana tersebut.senin 11/08/25 aplikasi ini tanpa no. pin langsung otomatis terpotong gopay saya",maaf kembali dana gopay trpotong langgan aplikasi mohon kembali dana terimakasihsemoga bijak kembali dana gopay sayasaya langgan aplikasi mohon kembali dana gopay butuh uang dana tersebutsenin aplikasi langsung otomatis potong gopay,2
"Versi terbaru makin ngelag, lemot, lelet, siput, lambat, loading",versi baru ngelag lelet siput lambat loading,0
mohon di kembalikan dana saya sebesar 609.390 saya mersa tidak membeli item apapun tiba-tiba dana saya terpotong 609.390. mohon di kembalikan aplikasi sudah banyak memakan korban secara otomatis uang y ada di dana hilang..,mohon kembali dana mersa beli item tibatiba dana potong mohon kembali aplikasi makan korban otomatis uang dana hilang,0
buruk,buruk,0
sekarang tidak bisa di unduh/download hasil map strava,unduhdownload hasil strava,0
bagus banget bro keren tapi keknya telat 300 m deh dari jarak aslinya soalnya saya pake garmin itu hasilnya masih akurat garmin tapi gapapalah ini juga udahh enakk buat di pake 😊,bagus banget bagus telat jarak asli pake garmin hasil akurat garmin gapapalah udahh enakk pake,2
aplikasi rusak saya tidak ingin berlangganan malah saldo saya langsung di potong tanpa konfirmasi saya,aplikasi rusak langgan saldo langsung potong konfirmasi,0
strava kok eror ya server bermasalah gabisa login,strava eror server masalah gabisa login,2
pas pertama download sangat bagus pas udah lama tiba² gak bisa di buka aplikasi nya,download bagus buka aplikasi,0
ini kenapa ya strava gaada km sama Pace nya aneh banget cape cape lari gaada km sma Pace ny jadi gatau saya udh berapa km nya dan Pace ny berapa,strava gaada pace aneh banget cape cape lari gaada pace gatau pace,0
"eror terus bro aplikasinya, haduehh😮‍💨",eror aplikasi haduehh,1
Sangat membantu untuk tracking olahraga saya,bantu tracking olahraga,2
aplikasi the best,aplikasi best,2
konversi pace dari smartwatch amazfit ke strava beda jauh. mohon ditingkatkan aplikasinya,konversi pace smartwatch amazfit strava beda mohon tingkat aplikasi,1
"apk tiba² gaa bisa dibuka, pas coba di uninstall terus install lagi tetep ga bisa dibuka,",aplikasi buka coba uninstall install tetep buka,1
udah cape2 lari mati sendiri. padahal waktu sudah di aktifkan sebelum masuk ke kantong. tapi pas sampai finish ternyata ga ke record ini kenapa ya,cape lari mati aktif masuk kantong finish record,0
"app ini kalo di hp ngawur, jarak 5 km jadi 11 km, mana Pace nya Pace 2 kocak bat, Lo kira gw cheetah bisa lari sekencang itu",kalo ngawur jarak pace pace kocak cheetah lari kencang,0
"akhir² ini apk strava sering eror,,jarak dan pace ngk nyambung",aplikasi strava erorjarak pace nyambung,0
"pas mau daftar sering erorr, kenapa ya",daftar erorr,0
"aplikasi berguna dengan baik, dan UI ramah bagi para pemula, mantap🤙",aplikasi guna ramah mula mantap,2
"Sangat membantu buat tracking olahraga! mayan akurat, easy to use.. Bikin semangat buat terus gerak! 💪",bantu tracking olahraga mayan akurat easy bikin semangat gerak,2
"akhir akhir ini selalu kecewa sama Strava, udah lari jauh jauh eh kaga ke deteksi jirr kecewa tiba tiba nge end sendiri",kecewa strava lari kaga deteksi jirr kecewa,1
aplikasi tidak dapat di gunakan saya sudah mencoba beberapa kali tapi masih tidak bisa tolong segera di urus,aplikasi coba kali tolong urus,2
"sudah di upgrade sudah di play, gps on, tiba tiba pause sendiri tidak terekam sama sekali, damnnnnn!!!!!!",upgrade play pause rekam damnnnnn,0
jarak kurang akurat,jarak akurat,1
"Bug di Elevasi, padahal tidak menanjak tapi terhitung elevasi yang signifikan",elevasi tanjak hitung elevasi signifikan,0
"aduh gimana si apk gaje, login server selalu masalah, emang apk kurang berguna",aduh gimana aplikasi gaje login server emang aplikasi guna,0
bagus untuk running,bagus running,2
"aplikasi sering banget error, udh di start di sinyal hijau tapi pas finish malah ngaco hasil kilometer nya, tolong diperbaiki lah, masa saya udh sepedaan cape cape 100km++ tapi hasil nya di strava cuma 3km",aplikasi banget error start sinyal hijau finish ngaco hasil kilometer tolong baik sepeda cape cape hasil strava,0
"awal awal masih aman,kok malah ngebug gabisa login tolong diperbaiki lagi",amankok ngebug gabisa login tolong baik,0
bagus bgt membantu lebih semangat tuk olahraga,bagus banget bantu semangat olahraga,2
fitur mudah di gunakan,fitur mudah,2
"aku udah pakai apk ini setengah tahun dan hasilnya bagus untuk aplikasinya, tapi belakangan ini sampai sekarang aku ga bisa masuk ke aplikasinya katanya ada gangguan server aku udah coba masukin akun ku terus tetap engga bisa masuk, semoga masalah server ini cepat selesai lah karna aku masih butuh aplikasi ini buat progres",pakai aplikasi hasil bagus aplikasi masuk aplikasi ganggu server coba masukin akun engga masuk moga server cepat selesai karna butuh aplikasi progres,2
"apk nya bagus buat kita yg gk punya jam tangan lari,bisa di hp meski ribet bawa hp lari sih,tapi gk apa² keren",aplikasi bagus tangan laribisa ribet bawa lari sihtapi bagus,2
sering gangguan,ganggu,0
"alus lah membantu, ngan aya fitur berbayar",alus bantu ngan fitur bayar,2
buat running bagus,running bagus,2
Aplikasi bermasalah,aplikasi masalah,0
"ini kenapa ga bisa buat akun si? padahal jaringan lancar ganti pake wifi pun sama aja ga bisa log in, berarti emang dari apk nya cacat",akun jaring lancar ganti pake wifi emang aplikasi cacat,0
sanggat bagu dan tepat,sanggat bagu,2
dokumentasi yg baik,dokumentasi,2
udah di batalin langganan tp dananya gak kembali,batalin langgan dana,2
semoga jadi sehat aja,moga sehat,2
sangat membantu dalam latihan endurance.,bantu latih endurance,2
"semenjak Upacara, Acurasi Maps dan Pace nya tidak seimbang sama sekali bahkan bisa dibilang hancur , say sudah menggunakan GPS dengan connect si yang bagus masih tetap sama saja apa salah nya aplikasi ini sebelum nya tidak seperti ini masih akurat walaupun perbedaan hanya berapa ratus meter saja ini bisa sampai 1 kilometer lebih why !!! strava whyy",semenjak upacara acurasi maps pace imbang bilang hancur connect bagus salah aplikasi akurat beda ratus meter kilometer strava whyy,0
"bug gps nya tolong di benerin dong, strava saya agak rusak pace sama kilometernya ga sesuai",tolong benerin strava rusak pace kilometer sesuai,1
setelah diupdate malah ga akurat ancur kecewa,diupdate akurat ancur kecewa,0
"melakukan transaksi tanpa pemberitahuan, dan merugikan",transaksi pemberitahuan rugi,0
masih perlu ditingkatkan menjadi aplikasi non langganan,tingkat aplikasi langgan,2
"strava saya error Mulu, tolong perbaiki min🙏",strava error mulu tolong baik,0
terkadang tidak berfungsi kadang cuma terekam aktivitas,terkadang fungsi kadang rekam aktivitas,1
anjir ini aplikasi gk ngotak main tarik saldo dana langsung 600 ribu . gimana caranya balikin nya oii,anjir aplikasi ngotak main tarik saldo dana langsung ribu gimana balikin,0
syuka banget....g ribet dan efektif buat lihat aktivitas,syuka bangetg ribet efektif lihat aktivitas,2
kenapa pas mau login kesalahan mulu dah,login salah mulu,0
Sebenarnya bagus tapi kok map tracking nya kok agak patah patah ya belok belok rute nya jadi nggak lumayan akurat,bagus tracking patah patah belok belok rute lumayan akurat,1
"Bagus banget, walau pakai yang gratisan juga... Moga aja tidak error lagi yaah....",bagus banget pakai gratis moga error yaah,2
aplikasi yg sangat membantu untuk semua orang yg mau sehat,aplikasi bantu orang sehat,2
"strava nya kok gabisa di pake yak??erorr mulu,mau login juga tidak bisa?gimanaa ini minn kecewaa",strava gabisa pake yakerorr mulumau login bisagimanaa minn kecewaa,0
saya suka menggunakannya. tapi gimana merubah yang ada hasil brp banyak langkahnya,suka guna gimana rubah hasil langkah,2
