review,preprocessed_text,score,label_manual
mantap sih, sayang jarak nya bisa lebih... contoh: harusnya 10 km... jadi 11 km... bagus sayang jarak contoh,3,netral
tidak bisa share activity di grup, servernya slow terus mengecewakan share activity grup servernya slow kecewa,1,negatif
akhit akhir ini kenapa tidak akurat kadang berjalan udah 3km tapi langkah masih 300 sampe 400 selama 30 menitan, tapi kafang baru 2km an langkah udah 2rb lebih. ada yang sama? akhit akurat kadang jalan langkah sampe menit kafang langkah,3,negatif
Seru!,seru,5,positif
top dah support buat kegiatan olah raga,support giat olah raga,5,positif
saya suka..jadi semangat olahraga,sukajadi semangat olahraga,5,positif
saya ingin membatalkan langganan bagaimana caranya? saya tidak sengaja melakukan langganan tahunan karena langganan gratis telah habis,batal langgan sengaja langgan tahun langgan gratis habis,1,netral
plis lah di perbaiki udah cape ngepush PB eh malah ga ada di aktivitas padahal sdh di simpan kecewa banget,plis baik cape ngepush aktivitas simpan kecewa banget,1,negatif
ini kenapa penghitungan langkah saat jalan ko sudah ndak ada lagi? kecewa banget sama strava skrg,hitung langkah jalan ndak kecewa banget strava skrg,1,negatif
bagus si tapi kok ada penagihan padahal aku cuma uji coba 7 hari tolong lah di benerin ini ada tagihan terus dari dana,bagus tagih coba tolong benerin tagih dana,2,netral
tidak bisa membuka tautan yang di bagikan,buka taut bagi,2,netral
perbaikin ni apk nya, masa udh di pertengahan lari/jalan malah gk itung berapa jarak nya sama berapa km nya. kecewa sih perbaikin aplikasi tengah larijalan itung jarak kecewa,2,negatif
ajg garaÂ² apk ini uang gua kesedot dari google play tidak bisa balik,gara aplikasi uang sedot google play,1,negatif
tolong di perbaiki lagi apk nya sering force close dan tracking nya juga sering kurang akurat,tolong baik aplikasi force close tracking akurat,3,negatif
apakah aplikasi ini eror? kenapa tidak bisa di buka sama sekali ?! hemm,aplikasi eror buka hemm,2,netral
mantp buat pelari pemula,mantp lari mula,5,positif
Bug tidak pernah selesai,Selesai,1,negatif
aplikasi ini bagus wajib bintang 5,aplikasi bagus wajib bintang,5,positif
Kenapa story larinya ga bisa di unduh gagal terus yah? serius nanya min!!,story lari unduh gagal serius nanya,1,netral
Aplikasi yang sangat membantu untuk jalan sehat... Mantap,aplikasi bantu jalan sehat bagus,5,positif
Tolong kembalikan saldo saya senilai Rp 609,saya tidak pernah bayar untuk beranggapan 1 tahun tolong kembali saldo nila bayar anggap,1,negatif
teruslah berkembang strava aku mendukungmu,terus kembang strava dukung,5,positif
kadang sukaaa bug pas lari jaraknya ga kehitung, padahal saya lari di lintas kabupaten  selain itu GPS nyaaa ga terdeteksi kita lewat mana ajaa.... sebagai pengalaman: saya lari muter lapangan... pada saat selesai tampilan rute nya malah ke area jalan raya acak'annnn  alhasil kita ga fokus lari tapi pantengin strava terusss..... tolong dibenahi untuk masalah ini..kalo masih seperti ini terus yang ada pelari' pada pindah apk lainn kadang sukaaa lari jarak hitung lari lintas kabupaten nyaaa deteksi ajaa alam lari muter lapang selesai tampil rute area jalan raya acakannnnalhasil fokus lari pantengin strava terusss tolong benah inikalo lari pindah aplikasi lainn,1,negatif
bagus, akurat tapi kenapa di icon bagi waktu di pencet tidak ada tulisan unduh dan waktu di pencet tampilan nya beda dengan yg lain... bagaimana cara unduhnya? terimakasih bagus akurat icon pencet tulis unduh pencet tampil beda unduh terimakasih,4,netral
makasih karena gratis ttp bisa dipake kalo ga gratis ku uninstall wkwkw,makasih gratis dipake kalo gratis uninstall wkwkw,5,positif
seru mantau pace sendiri,seru mantau pace,5,positif
mohon maaf, kenapa akhir2 ini GPS Strava seperti 'ngawur' ya? jarak tempuh tdk seakurat bbrp bulan yg lalu. mohon maaf strava ngawur jarak tempuh akurat bbrp,4,negatif
Masih Banyak Bug nya File gk bisa Di downloadlah Gps error lah Tolong Diperbaiki lagi min,file downloadlah error tolong baik admin,3,negatif
Cocok untuk cek jarak, kecepatan  dan target semua olahraga yg memerlukan waktu dan kecepatan cocok jarak cepat target olahraga cepat,5,positif
aplikasi yg hanya menguntungkan pengguna iPhone,pengguna android suka ngelag gps nya  zig-zag dan tidak akurat aplikasi untung guna iphonepengguna android suka ngelag zigzag akurat sekali,2,negatif
padahal baru donlod bagus bagus aj tapi makin kesini makin gajelas pdhal udh save tapi GK ada aktivitas terbarunya,donlod bagus bagus kesini gajelas pdhal save aktivitas baru,1,negatif
saya bisa meninjau aktifitas olahraga yang saya lakukan. bagus,tinjau aktifitas olahraga laku bagus,5,positif
sangat membantu apapun jenis olahraga nya... strava memang mantappp... ðŸ‘ðŸ‘ðŸ‘,bantu jenis olahraga strava mantappp,5,positif
lari makin kenceng,lari kenceng,5,netral
bagaimana mengubah mil ke km di app ini?,ubah,4,netral
membantu manajemen olahraga,bantu manajemen olahraga,5,positif
tidak bisa login setelah mendownload,login mendownload,2,negatif
min strava tolong kembalikan uang saya karena saya tidak sengaja membeli langganan tahunan,admin strava tolong kembali uang sengaja beli langgan tahun,2,negatif
udh 3x hasil tidak sesuai dan kesulitan mau mindahin data sebelumnya ke aplikasi lain. Sedangkan klo dari app lain ke strava bisa. tolong diupgrade lagi,hasil sesuai sulit mindahin data aplikasi strava tolong diupgrade,3,negatif
sangat membantu untuk hidup sehat.....,bantu hidup sehat,5,positif
bagus banget,bagus banget,5,positif
aplikasinya sangat membantu,aplikasi bantu,5,positif
gak jlas strava, gps dan jarak serta pace tidak sesuai. jlas strava jarak pace sesuai,1,negatif
aplikasinya bagus, olahraganya juga lengkap  mantappp aplikasi bagus olahraga lengkap mantappp,5,positif
gampang banget eror di pace nya sama km nyaðŸ‘Ž,gampang banget eror pace,1,negatif
aplikasi bagus dan tampil dan memberi tau kerja keras kita ðŸ˜Š,aplikasi bagus tampil kerja keras,5,positif
praktis dan mudah digunakan saat melakukan aktivitas olahraga,praktis mudah aktivitas olahraga,5,positif
kenapa sinyal gps nya tidak ada/lemah,sinyal adalemah,5,negatif
stravanya eror aktifitas tidak bisa di save padahal kuota dan sinyalnya ada...,stravanya eror aktifitas save kuota sinyal,1,negatif
banget Masih Banyak Bug nya File gk bisa Di downloadlah Gps error lah Tolong Diperbaiki lagi min,File downloadlah error tolong baik admin,3,negatif
so far bermanfaat buat informasi ikhtiar olahraga,manfaat informasi ikhtiar olahraga,5,positif
lebih bagus lagi kalo ada hitungan kalori,bagus kalo hitung kalori,5,netral
sorry to say yaaa, gue instal bukan karna gue suka sama aplikasinya  tolong dong uang istri gue tiba2 kepotong di spay dengan sendirinya  berlangganan enggak tiba2 saldo sebesar 550rb dipotong  tolong kebijakannya ya  gokil si sekelas bank yg aman bisa lu bobol!!! balikin ya!!! tolong kebijakannya. sorry yaaa instal karna suka aplikasi tolong uang istri potong spay langgan saldo potong tolong bijak gokil kelas bank aman bobol balikin tolong bijak,1,negatif
Kadang proses simpan aktivitasnya sangat lama harus diulang ulang baru bisa padahal sinyal penuh,kadang proses simpan aktivitas ulang ulang sinyal penuh,4,negatif
pake 2x hasilnya ngawur jalan 5km langkahnya masa cuman 478 langkah kocak ngawur parah ðŸ¤£ðŸ¤£,pake hasil ngawur jalan langkah cuman langkah kocak ngawur parah,1,negatif
Aplikasi bagus buat memantau kesehatan kita,aplikasi bagus pantau sehat,5,positif
mau daftar malah server down mulu,daftar server down mulu,1,negatif
apk nya bagus cuma ko pas selesai rekam server strava nya error yaa,aplikasi bagus selesai rekam server strava error,5,netral
top lumayan membantu,lumayan bantu,5,positif
saya sudah menggunakan aplikasi ini lumayan lama tapi tiba tiba log out dengan sendirinya lalu saat ingin log in kembali terjadi error kesalahan server, tolong ini sangat mengganggu aktivitas lari saya dan semoga segera diperbaiki aplikasi lumayan error salah server tolong ganggu aktivitas lari moga baik,5,negatif
setalah saya menggunakan aplikasi dari saya gak bisa masak nasi goreng sekarang saya bisa masak mie ayam, terimakasih starvaaa seta aplikasi masak nasi goreng masak ayam terimakasih starvaaa,5,netral
buat admin apk ini tolong dong perbaiki bug Pace ya di hp android tidak akurat saya lari Pace 6 malah di bikin ya Pace 4, ini mah tolong kepada yang berpihak dalam aplikasi strava perbaiki bug itu dong  biar yang lari pake android tau Pace aslinya dan itu sangat penting  kalau udah di perbaiki akan saya kasih rating 5ðŸ™ admin aplikasi tolong baik pace android akurat lari pace bikin pace tolong pihak aplikasi strava baik biar lari pake android pace asli baik kasih rating,1,negatif
aplikasi ini sangat bagus dan membantu saya untuk beraktivitas lainnya,aplikasi bagus bantu aktivitas,5,positif
gimana ini gk bisa daftar server dalam masalah, maap pemula gimana daftar server maap mula,3,netral
mayann buat pengukur jarak,mayann ukur jarak,5,positif
aplikasi ini penting untuk mencatat kegiatan olah raga kita terutama lari, catatannya lengkap aplikasi catat giat olah raga lari catat lengkap,5,positif
saya tidak berlangganan mengapa ada penarikan sebesar 600ribu atas nama strava inc di gopay saya plis i need a money now is DangerðŸ¥º,langgan tari ribu nama strava gopay plis need money danger,1,negatif
sekarang sudah gak akurat lagi strava, kalo miss dikit beberapa ratus meter ga papa  ini jauh bgt Miss nya sampe beberapa km   pace jadi kacau  jelek bgt sekarang akurat strava kalo miss dikit ratus meter papa banget miss sampe pace kacau jelek banget,1,negatif
cocok untuk validasi ðŸ˜‚,cocok validasi,5,positif
balikin rekaman 9km gw masa hp gw sampe uda d restart malah for close gimana sih,balikin rekam sampe restart close gimana,1,negatif
aplikasi kerennn, bismillah bulan depan bisa kebeli jam biar ga bawa hp mlu pas lari aplikasi kerennn bismillah kebel biar bawa lari,5,positif
keren... bagus...,keren bagus,5,positif
msh suka ngebug mau save setelah run tp ngk bisa di save,suka ngebug save save,4,negatif
Sering eror. terkadang ketika saya menggunakan wifi tidak bisa login, berbanding terbalik ketika menggunakan paket data eror terkadang wifi login banding balik paket data,3,negatif
bisa digunakan dengan baik. hanya hasil lari yang transparan tuda bisa di download,hasil lari transparan tuda download,4,positif
Mohon diperbaiki lagi, jarak dan juga peta nya ngaco. Padahal saya berdua dengan teman dengan hp berbeda lalu pake strava hiking maupun running tapi hasil gk sama mohon baik jarak peta ngaco teman beda pake strava hiking running hasil,2,negatif
sangat membantu program kebugaran,bantu program bugar,5,positif
Tengkyu strava berkat aplikasi ini saya jadi konsisten lari sampe hari ini,tengkyu strava berkat aplikasi konsisten lari sampe,5,positif
aplikasi yang sangat berguna,aplikasi guna,5,positif
tolong kembalikan dana sy senilai 609.390.padahal sy sudah hapus aplikasinya dari hp sy tapi tiba2 saldo dana sy melakukan pembelian tanpa sepengetahuan dan persetujuan saya, mohon di kembalikan  kalo mau kami berlangganan bukan dgn cara bgtu ambil saldo seenaknya saja  itu sama aja dengan mencuri dan itu sudah tindak kriminal tolong kembali dana nila hapus aplikasi saldo dana beli tahu tuju mohon kembali kalo langgan bgtu ambil saldo curi tindak kriminal,1,negatif
sering eror, tolong diperbaiki bug nya eror tolong baik,3,negatif
aplikasi berguna dengan baik, dan UI ramah bagi para pemula  mantapðŸ¤™ aplikasi guna ramah mula mantap,5,positif
rute sesat abal2 kadang rute normal.,rute sesat abal kadang rute normal,4,negatif
tolong kembalikan dana saya sebsar 609ribu saya tidak mengetahui, ini sama aja mencuri uang org lain tanpa persetujuan org lain tolong kembali dana sebsar ribu curi uang tuju,1,negatif
bagus utk monitor kegiatan olahraga,check atau evaluasi selama kegiatan bagus monitor giat olahragacheck evaluasi giat,5,positif
Layak bintang 5 untuk fitur2 perekam macam-macam olahraga,layak bintang fitur rekam macammacam olahraga,5,positif
Tolong kembalilan uang saya 609 rb, saya tidak pernah merasa melakukan pembayaran tersebut tolong kembalilan uang bayar,1,negatif
aplikasi yg cocok bagi orang yg ingin hidup sehat ðŸ«¡,aplikasi cocok orang hidup sehat,5,positif
Sangat Mendukung untuk Legiatan Olahraga,dukung legiatan olahraga,5,positif
all good, tapi kalo offline lebih bagus  jdi kaya peta nya di download gitu good kalo offline bagus kaya peta download gitu,5,netral
saya selalu gagal membuat akun strava dengan menggunakan akun google saya ini, dan ini terus berulang dari sepanjang malam hingga pagi. saya harap ini menjadi pelajaran bagi developer nya gagal akun strava akun google ulang malam pagi harap ajar developer,1,negatif
keren, amat sangat membantu untuk olahraga. keren bantu olahraga,5,positif
tidak bisa bergabung, aplikasi error gabung aplikasi error,1,negatif
tidak bisa membuka tautan yang di bagikan,buka taut bagi,2,negatif
tidak bisa konek dengan shark wear (akses di tolak) padahal ada fasilitas konek strava,konek shark wear akses tolak fasilitas konek strava,2,negatif
gps ga akurat sama sekali bahkan bisa meleset jauh banget dari desa saya ke kecamatan sebelah kan ga masuk akal, juga saya sudah lari sekitar 1km cuman ke deteksi 200 meter akurat meleset banget desa camat belah masuk akal lari cuman deteksi meter,1,negatif
secara keseluruhan saya menyukai aplikasi ini, namun ada beberapa fitur yang tidak kompetibel dengan hp keluaran lama seperti oppo a5s yaitu berbagi gampar aktivitas lari namun hasil download gambarnya rusak suka aplikasi fitur kompetibel keluar oppo bagi gampar aktivitas lari hasil download gambar rusak,5,netral
mantap dan gampang di gunakan,bagus gampang,5,positif
mantap bagus keren,bagus bagus bagus,5,positif
Dipakai untuk record perjalanan dengan Aplikasi ini bikin panas HP, sangat menguras baterai HP pakai record jalan aplikasi bikin panas uras baterai,1,negatif
gimana caranya biar titik koordinat nya ga eror? ada yg tauu,gimana biar titik koordinat eror tauu,1,netral
sangat berguna dalam berolahraga,guna olahraga,5,positif
terbaik,baik,5,positif
sudah stop tapi tagihan langganan muncul tarus ðŸ¤¦ðŸ¤¦ bagaimana cara stopnya ?,stop tagih langgan muncul tarus stop,1,netral
cukup berguna untuk gowes dan cara pemakaian nya juga gampang,guna gowes pakai gampang,4,positif
akurat ðŸ‘ðŸ‘,akurat,5,positif
Tolong Refund 609.930 saya tidak pernah menyetujui pembayaran lewat aplikasi dana tapi kenap dipotong otomatis seharusnya pembayaran ada verifikasi dari pengguan Dana ini gak ada sama sekali tiba2 saldo udah kepotong tolong kembalikan saldo Dana saya,tolong refund tuju bayar aplikasi dana kenap potong otomatis bayar verifikasi pengguan dana saldo potong tolong kembali saldo dana,1,negatif
aplikasi yg sangat membantu mudah di gunakan smoga kedepan bisa tambah berkembang,aplikasi bantu mudah smoga depan kembang,5,positif
awalnya bagus. tapi makin lama jjaraknya ngawur,bagus jjaraknya ngawur,1,netral
saya mau login masukan nama saya kelamin tanggal lahir dll pas saya coba katanya error dan sebagai nya,login masuk nama kelamin tanggal lahir coba error,2,negatif
tolong kembalikan dana saya yang 609 saya sangat membutuhkan nya buat sehari-hari malah tiba-tiba langganan ke strava yaallah,tolong kembali dana butuh seharihari tibatiba langgan strava yaallah,1,netral
ini knp anying setiap ada pergerakan dikit aja rute melenceng dan avgnya tuh kyk nambah gtu Lo,gw sepedaan biasa aj nah hpnya gw tarik ke kanan itu rutenya jadi melenceng ke kanan ajg anying gera dikit rute lenceng avgnya nambah logw sepeda hpnya tarik kanan rute lenceng kanan,3,negatif
aplikasi yang membuat saya semangat untuk rutin Lari lagi,aplikasi semangat rutin lari,5,positif
membantu segala aktivitasmu,bantu aktivitas,5,positif
sangat membantu dalam mengukur kecepetan dan jarak berlari,bantu ukur kecepetan jarak lari,5,positif
suka lag,lari Pace 6 jadi Pace 12 unik lari 6 km jadi 2 km gila suka laglari pace pace uniklari gila,4,positif
aplikasi ini sangat bagus dan berguna,aplikasi bagus guna,5,positif
mantap betvv,bagus betvv,5,positif
aplikasi rusak, saya lari 6km  di strava malah cmn 3km  ga rekomen banget aplikasi rusak lari strava rekomen banget,1,negatif
aplikasi apaan nih, ngeleg bat padahal jaringan lancar aplikasi ngeleg jaring lancar,1,negatif
strava saya kenapa ya gabisa digunakan lagi padahal waktu itu bisa tapi sekarang gabisa dan apk nya masih belum ke update padahal sudah saya update tapi kok ini ga ke update ya sama gabisa di pake disitu nya tertulis sinyal GPS tidak ada terus aja begitu tolong di perbaiki dong,strava gabisa gabisa aplikasi update update update gabisa pake situ tulis sinyal tolong baik,3,netral
seru mantau mantau pace sendiri,seru mantau pace,5,positif
kenapa sih pas udah aktifin GPS tapi malah ga jalan rute nya, padahal lari udah dapet jauh tapi malah ga jalan:( aktifin jalan rute lari dapet jalan,2,negatif
semangat lariii,semangat lariii,5,positif
