review,preprocessed_text,score
aplikasi rusak saya tidak ingin berlangganan malah saldo saya langsung di potong tanpa konfirmasi saya,aplikasi rusak langgan saldo langsung potong konfirmasi,1
"gabisa di share, selalu error",gabisa share error,1
bagus saya vapek capek jogging setiap hari tidak kerekam sama sekali sama tidak bisa mendownload pace dan jarak nya tolong di perbaiki lagi ya strava,bagus vapek capek jogging rekam mendownload pace jarak tolong baik strava,5
apk ini sbnrnya bagus namun yg g bagusnya tetiba ada pemotongan berlangganan yg nyatane sya g berlangganan,aplikasi sbnrnya bagus bagus tetiba potong langgan nyatane langgan,1
Yes mantap,bagus,5
"Cocok buat lari, Dan sangat akurat",cocok lari akurat,5
bagus untuk melihat peforma olahraga,bagus forma olahraga,5
aplikasi perjuangan,aplikasi juang,5
apk tidak bisa login tolong di perbaiki!!!,aplikasi login tolong baik,5
"aplikasi sering banget error, udh di start di sinyal hijau tapi pas finish malah ngaco hasil kilometer nya, tolong diperbaiki lah, masa saya udh sepedaan cape cape 100km++ tapi hasil nya di strava cuma 3km",aplikasi banget error start sinyal hijau finish ngaco hasil kilometer tolong baik sepeda cape cape hasil strava,1
"suka ngelag bjirr, kadang juga suka tiba-tiba keluar dari apk",suka ngelag bjirr kadang suka tibatiba aplikasi,2
aplikasi penyemangat..mantap,aplikasi penyemangatmantap,5
Memproses vidio ke story IG sangat lama tolong segera di perbaiki. Terimakasih,proses vidio story tolong baik terimakasih,2
"Hampir 4 bulan ini aplikasi strava gabisa connect ke wifi dan selalu logout/error ketika di hubungkan ke wifi, kira2 disini ada yg sm kasusnya ga yaaa?",aplikasi strava gabisa connect wifi logouterror hubung wifi kasus yaaa,3
aplikasi saat dipakai tidak bisa login,aplikasi pakai login,1
ga bisa masuk eror trus,masuk eror trus,2
kadang susah ipdate data hasil dr smart watch,kadang susah ipdate data hasil smart watch,3
aplikasi aneh masa aku gbisa login pake email pake Facebook,aplikasi aneh gbisa login pake email pake facebook,1
kecewa bangat sama aplikasi ini uang aku di sedot 600 rb,kecewa bangat aplikasi uang sedot,1
"aplikasi yg hanya menguntungkan pengguna iPhone,pengguna android suka ngelag gps nya, zig-zag dan tidak akurat",aplikasi untung guna iphonepengguna android suka ngelag zigzag akurat,2
rekomend bet buat olahraga gak akan nyesel pakenya😁🤗,rekomend olahraga nyesel pakenya,5
good aplikasi utk olahraga.,good aplikasi olahraga,5
masih perlu ditingkatkan menjadi aplikasi non langganan,tingkat aplikasi langgan,4
Alhamdulillah.. Mantap Aplikasi Strava. Terus Maju dan Berkembang Dalam Menciptakan Sebuah Karya.. Hebat Strava,alhamdulillah bagus aplikasi strava maju kembang cipta karya hebat strava,5
"Tolong Refund 609.930,saya tidak pernah menyetujui pembayaran lewat aplikasi dana, tapi kenap dipotong otomatis, seharusnya pembayaran ada verifikasi dari pengguan Dana, ini gak ada sama sekali, tiba2 saldo udah kepotong. tolong kembalikan saldo Dana saya",tolong refund tuju bayar aplikasi dana kenap potong otomatis bayar verifikasi pengguan dana saldo potong tolong kembali saldo dana,1
sangat membantu,bantu,5
"bug jarak dan kecepatan tidak akurat, langganan pun percuma",jarak cepat akurat langgan,1
aplikasi pencuri dana,aplikasi curi dana,1
"sebenarnya fiturnya udh bagus,cuman fitur yang tadinya gratis sekarang harus proo,saya berharap fitur yang tadinya gratis untuk update selanjutnya di buka lagi.jadi jangn serba premium pliss ini MH🙏🙏",fiturnya baguscuman fitur gratis proosaya harap fitur gratis update buka lagijadi jangn serba premium pliss,3
"Tolonglah saya gak bisa login, sudah diulang ulang tetep gak bisa login, jadi tolong perbaiki sistem nya..🤝",tolong login ulang ulang tetep login tolong baik sistem,1
mantap n detail.,bagus detail,5
Aplikasinya Ok. untuk memantau progress olahraga kita,aplikasi pantau progress olahraga,5
"aplikasi yang menemani saya saat olahraga lari, cocok untuk pemula yang ingin berolahraga untuk kesehatan",aplikasi tani olahraga lari cocok mula olahraga sehat,5
bermanfaat untuk larii,manfaat lari,5
sangat membantu apapun jenis olahraga nya... strava memang mantappp... 👍👍👍,bantu jenis olahraga strava mantappp,5
"kurang bagus 2kali garis mapsnya ntah kemana mana padahal sinyal aman gps aman eh malah sampe malaysia garis lari saya, tolong pacemya diperbaiki masa saya jaln.pace 7",bagus kali garis mapsnya ntah mana sinyal aman aman sampe malaysia garis lari tolong pacemya baik jalnpace,1
tolong kembalikan uang saya senilai 609.000 demi kenyamanan bersama kk. uang sy tiba2 ke transaksi sendiri jam 12 malam,tolong kembali uang nila nyaman uang transaksi malam,2
signal gps selalu eror hasil track running saya parah. padahal saya tinggal di tengah-tengah kota yg memungkinkan sinyal stabil. paraaaah,signal eror hasil track running parah tinggal tengahtengah kota sinyal stabil paraaaah,1
"tidak bisa login, server strava mengalami kesalahan",login server strava alami salah,1
saya kasih bintang 3 dlu soalnya knpa ketika mau di share malah yang keluar kenaikan elev bukan pace yang saya mau liat itu pace bukan kenaikan elev itu ga penting nanti kalo udah bener saya kasi bintang 5 kalo udah diganti lagi jadi pace bukan kenaikan elev,kasih bintang knpa share naik elev pace liat pace naik elev kalo bener kasi bintang kalo ganti pace naik elev,3
semakin lama semakin ngaco. sering banget eror mohon dong di perbaiki. udah di start dalam posisi sinyal hijau. Uda cape cape lari tau nya ga jalan aplikasi nya. kan bga asik bgt,ngaco banget eror mohon baik start posisi sinyal hijau cape cape lari jalan aplikasi asik banget,1
"uang saya sebesar 609 ribu di dana hilang di hisap aplikasi ini, tolong di kembalikan",uang ribu dana hilang hisap aplikasi tolong kembali,1
cukup membantu kita untuk mengetahui progres latihan,bantu progres latih,5
"Bantu kak, cara ubah dari jarak mil ke KM",bantu ubah jarak,5
mantul,mantul,5
keren aplikasinya...,bagus aplikasi,5
sudah aktifkan lokasi tetap tidak jadi,aktif lokasi,1
"Tolong teknisi strava, saya udah capek-capek gowes kadang rute tidak terekam, seluruh opsi latar belakang sudah di aktifkan agar memperlancar perekaman rute saat bersepeda. tetapi, masih di temukan rute yang tidak terekam, dan ini terjadi tidak 100 atau 300 meter. tetapi, beberapa kilometer 🥲.",tolong teknisi strava capekcapek gowes kadang rute rekam opsi latar aktif lancar rekam rute sepeda temu rute rekam meter kilometer,5
"saya menggunakan yg gratis kok pernah ada tagihan via email sebesar Rp 600.000, saya yakin bok..aabok..tak iyyye ya saya abaikan, llla kok enak nyari duwit dg cara malak tanpa berkeringat",gratis tagih email bokaaboktak iyyye abai llla enak nyari duwit malak keringat,4
terukur jadi nya,ukur,5
"saldo dana saya di ambil otomatis sama app strava ini padahal saya tidak mengaktifkan berlagganan dan saya tidak menggunakan app ini..tolong kembalikan saldo saya sebesar 609,930..sangat kecewa sangat merugikan sekali tolong bisa di tindak lanjuti secepatnya",saldo dana ambil otomatis strava aktif berlagganan initolong kembali saldo kecewa rugi tolong tindak lanjut cepat,1
"agak kecewa krn di versi yg terbaru ini utk jalan kaki udh gak mengukur per langkah lagi tapi pake elevasi ketinggian, begitu juga dgn olahraga lari pace cepet tpi hitungannya tetep lambat dan pengukuran jaraknya juga kadang ngawur",kecewa versi baru jalan kaki ukur langkah pake elevasi tinggi olahraga lari pace cepet hitung tetep lambat ukur jarak kadang ngawur,2
sanggat bagu dan tepat,sanggat bagu,5
"yaTuhan tolong kembalikan saldo dana saya... saya tidak sengaja atau ke pencet.. tiba tiba saldo saya kesedot dan dikatakan ada berlangganan tolong kembalikan saldo saya sebesar 609,390.00 tolong saya mohon",yatuhan tolong kembali saldo dana sengaja pencet saldo sedot langgan tolong kembali saldo tolong mohon,1
"tolong kembalikan dana saya, gak pernah langganan tiba tiba kesedot 690.390 anjg""",tolong kembali dana langgan sedot anjg,1
saya ingin pengajuan pembatalan paket namun tidak diterima,batal paket terima,1
bikin olahraga tambah keren tambah semangat,bikin olahraga bagus semangat,5
aplikasi saat di record long run. sering keluar sendiri,aplikasi record long,2
sangat membantu optimasi latihan,bantu optimasi latih,5
harusnya dibikin auto save setiap kilometer,bikin auto save kilometer,1
saya mendapatkan hal yang tidak mengenakan di aplikasi ini . saldo dana saya hilang 600rb . apakah bisa pengembalian dana . karna itu tidak sengaja atau tidak sah,kena aplikasi saldo dana hilang kembali dana karna sengaja,3
tolong kembalikan dana saya 609.390 ribu. saya tidak pernah melakukan transaksi aplikasi ini,tolong kembali dana ribu transaksi aplikasi,1
ok semoga bermanfaat,moga manfaat,5
Biar tau progress latihan nya 👍👏,biar progress latih,5
ini kenapa pace nya gabisa dibagikan??? kenapa yang muncul hanya jarak sama elevasi ajaa??? padahl pengen bikin trend:(,pace gabisa bagi muncul jarak elevasi ajaa padahl bikin trend,3
"selmat malam , tolong kembali dana saya ,sya tidak sengaja berlanganang kak tolong saldo saya ketarim sendiri ku harap dana saya di kembalikan lagi",selmat malam tolong dana sengaja berlanganang tolong saldo ketarim harap dana kembali,5
saya baru pertama kali pake apk ini tapi kok menurut saya pribadi kurang akurat saat mengukur jarak dan pace,kali pake aplikasi pribadi akurat ukur jarak pace,4
sangat memuaskan,muas,5
kadang suka error,kadang suka error,5
"Aplikasi Gioamat, mau lari baru dia bug bug",aplikasi gioamat lari,1
saya ga ada berlangganan apa2 700ribu saya di tarik dari gopay tu maksudnya apa,langgan ribu tarik gopay maksud,1
kembalikan saldo saya 609.390 dana tolong kembalikan saldo ya buat beli sepatu udah 2bulan aku ngumpulin uang ya kamu ambil tolong kembalikan ya aku minta tolong banget🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,kembali saldo dana tolong kembali saldo beli sepatu ngumpulin uang ambil tolong kembali tolong banget,1
"aplikasi babi saya tidak melakukan transaksi langganan, saldo saya tabungan 600rb hilang tanggung jawab ajg",aplikasi babi transaksi langgan saldo tabung hilang tanggung,1
"tolong ya untuk developer harus adil, masa merek sepatu kesayangan saya tidak ada. hundred",tolong developer adil merek sepatu sayang hundred,1
Mayan lah selama gratisan,mayan gratis,5
"aplikasi aneh.. sering keluar sendiri dan kalau mau login lagi sangat sulit. kesalahan server terus, sangat tidak mengenakkan.",aplikasi aneh login sulit salah server enak,1
"apk kocak, tiba"" eror udh gitu gabisa dikaitkan ke jam tangan, asu",aplikasi kocak eror gitu gabisa kait tangan,1
"sering ga kebaca, udah cape cape lari tapi ga kehitung rasanya tuh kaya nyesek aja",baca cape cape lari hitung kaya nyesek,1
mau login kesalahan terus,login salah,2
allkkasi bagus buat bersepeda,allkkasi bagus sepeda,5
sangat membantu dalam latihan endurance.,bantu latih endurance,5
harus berbayar,bayar,4
"Apk baguss, kasih premium 1 Minggu 🙃🙃🙃",aplikasi baguss kasih premium minggu,5
bagusss,bagusss,4
mohon di kembalikan dana saya sebesar 609.390 saya mersa tidak membeli item apapun tiba-tiba dana saya terpotong 609.390. mohon di kembalikan aplikasi sudah banyak memakan korban secara otomatis uang y ada di dana hilang..,mohon kembali dana mersa beli item tibatiba dana potong mohon kembali aplikasi makan korban otomatis uang dana hilang,1
mantap membantu sekali,bagus bantu,5
"otomatis bayar padahal trial doang, ga ada notifikasi, parah bgt",otomatis bayar trial doang notifikasi parah banget,1
strava membuat semangat berolah raga,strava semangat olah raga,5
"alus lah membantu, ngan aya fitur berbayar",alus bantu ngan fitur bayar,4
"akhir akhir ini selalu kecewa sama Strava, udah lari jauh jauh eh kaga ke deteksi jirr kecewa tiba tiba nge end sendiri",kecewa strava lari kaga deteksi jirr kecewa,3
"Aplikasi ny Bagus, Saya Sudah Coba, Semoga Banyak Yang Pake Kedepan Nya Lagi 👍",aplikasi bagus coba moga pake depan,5
"Cocok untuk cek jarak, kecepatan, dan target semua olahraga yg memerlukan waktu dan kecepatan",cocok jarak cepat target olahraga cepat,5
Mantap Mentonk....,bagus mentonk,5
aplikasi nya baguss bgt ttt,aplikasi baguss banget,5
26/09/25 Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah mengaktifkan untuk berlangganan. tiba tiba mendapatkan notifikasi dari Gmail dan dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. MOHON DIBANTU SECEPATNYA!!,tolong kembali dana aktif langgan notifikasi gmail dana potong tolong kembali cepat selesai mohon bantu cepat,1
"tidak bisa log-in? #ket server eror, mohon diperbaiki",login server eror mohon baik,1
tidak bisa login dengan alasan salah server gimana dong nihhh,login alas salah server gimana nihhh,1
apk apa ini gak bisa daftar udh berapa kali cobe tetep aja gak bisa gak ada kode nya Mulu aneh bet apk nya,aplikasi daftar kali cobe tetep kode mulu aneh aplikasi,2
pas pertama download sangat bagus pas udah lama tiba² gak bisa di buka aplikasi nya,download bagus buka aplikasi,2
bagus bisa ngukur jarak tempuh .saya suka aplikasi ini,bagus ngukur jarak tempuh suka aplikasi,5
buruk,buruk,1
"sangat sulit login menggunakan wifi, tapi aplikasi ini akurat, bisa digunakan secara offline dan bagus saat menggunakan kuota. tapi jika menggunakan wifi aplikasi ini tidak mau berfungsi.",sulit login wifi aplikasi akurat offline bagus kuota wifi aplikasi fungsi,5
"aplikasi nya memang bagus tapi kadang mau gak kerekam, padahal udah cape lari",aplikasi bagus kadang rekam cape lari,4
mantap banget aplikasikan,bagus banget aplikasi,5
aplikasi yang sangat membantu kegiatan olahraga saya,aplikasi bantu giat olahraga,5
akhir2 ini kenapa waktu nya error ya lebih cepat dari sebenarnya. Kita udah jalan 30 menit diaplikasi cuma 8 menit,error cepat jalan menit aplikasi menit,2
ini kenapa error terus sih,error,3
"Dan lagi, aktivitas tidak tercatat karena eror 😠",aktivitas catat eror,5
"tolong kembalikan saldo saya yg di tarik sebesar Rp 609.390,00 karena saya tidak mengetahui nya dalam pembayaran ini ,mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini",tolong kembali saldo tarik bayar mohon bantu kembali saldo tarik dana langgan aplikasi,1
Tobaraya Konstruksi mesin molen 500 liter - Strava membantu banget dalam aktifitas olahraga. salam sehat,tobaraya konstruksi mesin molen liter strava bantu banget aktifitas olahraga salam sehat,5
"ya Allah tolong kembalikan uang saya, tiba-tiba ketarik otomatis di akun dana 609.390, itu sepertinya tidak sengaja kepencet fitur berlangganan saya mohon kembalikan uang saya sangat membutuhkan",allah tolong kembali uang tibatiba tarik otomatis akun dana sengaja pencet fitur langgan mohon kembali uang butuh,1
suka banget,suka banget,5
"saya tidak ada mendaki malah dicatat kenaikan elevasi, dan pengaturan untuk mengubah hal tsb tidak ada",daki catat naik elevasi atur ubah,2
"bagi pelari mungkin aplikasi ini sangat bagus,tapi bagi saya yang kurang suka olahraga lari tidak terlalu suka dengan aplikasi ini,tapi aplikasi ini rekomendasi sekali bagi pelari",lari aplikasi bagustapi suka olahraga lari suka aplikasi initapi aplikasi rekomendasi lari,4
suka error....tp tetap tatap bagus...thx strava,suka errortp tatap bagusthx strava,5
bermanfaat untuk bisa meningkatkan target olahraga biar tubuh kita semakin sehat dan bugar,manfaat tingkat target olahraga biar tubuh sehat bugar,5
kerren mantaf sangat bermanfaat jozzz🥰🥰🥰,kerren mantaf manfaat jozzz,5
"sudah cape cape sepedaan ada 20km -+ eh kebaca nya malah 8 km tolong lah bukan sekali 2 kali soalnya, ilangin jeda otomatis nya!",cape cape sepeda baca tolong kali ilangin jeda otomatis,1
knp ketika saya play hasil lari tidak bisa munculnya harus bayar sedangkan apk temen ku ngga,play hasil lari muncul bayar aplikasi temen ngga,3
"Update terbaru malah ngebug klo dipakein tws trs play musik di HP malah musiknya jadi mati idup sendiri, padahal biasanya engga, tolong diperbaiki lagi",update baru ngebug dipakein play musik musik mati idup engga tolong baik,3
terkadang record nya ndak fungsi..,terkadang record ndak fungsi,5
"Halo Tim Strava, Saya ingin melaporkan masalah terkait pemotongan dana dari akun saya. Saya tidak merasa melakukan pembelian atau perpanjangan langganan ini. Mohon bantuannya untuk membatalkan langganan dan melakukan pengembalian dana",halo strava lapor kait potong dana akun beli panjang langgan mohon bantu batal langgan kembali dana,1
"Saya ada usulan, bagaimana kalo setiap mecahkan record sendiri, di Beri Hadiah Misalnya Koin untuk membeli sticker di Strava atau apalah itu",usul kalo mecahkan record hadiah koin beli sticker strava,4
"akhit akhir ini kenapa tidak akurat kadang berjalan udah 3km tapi langkah masih 300 sampe 400 selama 30 menitan, tapi kafang baru 2km an langkah udah 2rb lebih. ada yang sama?",akhit akurat kadang jalan langkah sampe menit kafang langkah,3
mantul terbaik,mantul baik,5
saya tidak pernah berlangganan di aplikasi tersebut saldo saya ilang RP. 609.390 bagaimana cara uang saya kembali min.,langgan aplikasi saldo ilang uang,1
Baik dan membantu tapi jumlah jalan kaki tidak terlihat lagi,bantu jalan kaki,5
"trackingnya tidak akurat, jalur larinya jadi ngaco",trackingnya akurat jalur lari ngaco,2
mantap cuman kadang eror sama waktu,bagus cuman kadang eror,5
"joss, pantau performa olah raga anda, improve base on statistik..",joss pantau performa olah raga improve base statistik,5
"bolehlah ya, bagus juga dan yap gw manusia",bagus manusia,5
pamer dikit gak sih 😋,pamer dikit,5
sungguh aplikasi yang tidak bagus kerena tidak bisa si login,sungguh aplikasi bagus rena login,1
"dana saya kesedot tiba"" untuk pembayaran langganan strava padahal saya udah tidak memakai nya lagi saya ingin merefund mengapa tidak bisa?",dana sedot bayar langgan strava pakai merefund,1
tolong di perbaiki dong kadang GPS nya suka ngebug tiba tiba lurus belok segitiga dll terus pace nya berubah karena GPS nya bug,tolong baik kadang suka ngebug lurus belok segitiga pace ubah,4
bagus walaupun blm premium,bagus premium,5
"Sebelumnya mohon maaf, kok Strava ku ga bisa masuk ya. Maksudnya ga bisa login ga bisa masukin akun GAGAL TERUS (Server Strava Mengalami Kesalahan) Owh aku sudah memecahkan masalah nih, jika masuk Strava pake wifi gak jadi/server tidak ditemukan. Tapi KLO pake kuota itu langsung jadi, hehe baru tau aku maaf²",mohon maaf strava masuk maksud login masukin akun gagal server strava alami salah pecah masuk strava pake wifi jadiserver temu pake kuota langsung hehe maaf,5
karna kalau ada uang tidak di pakai dalam aplikasi penyimpanan uang akan dia ambil oleh aplikasi ini sebelum ada banyak korban stop pakai aplikasi ini saya kehilangan uang enam ratus ribu rupiah,karna uang pakai aplikasi simpan uang ambil aplikasi korban stop pakai aplikasi hilang uang enam ratus ribu rupiah,1
udah lama pake ini tapi sekarang error gabisa login pake akun apapun server error. jadi ganti apk adidas running tolong diperbaiki,pake error gabisa login pake akun server error ganti aplikasi adidas running tolong baik,3
"GPS-nya rusak jarak ga benar baru lari 1 menit tiba-tiba 2 km, dipake berkali-kali pun tetap sama",gpsnya rusak jarak lari menit tibatiba dipake berkalikali,1
"bagus apknya, tpi sering error kadang pace sama jaraknya ga jalan, mohon dibenerin lagi min",bagus apknya error kadang pace jarak jalan mohon dibenerin admin,4
"Keren dah, kalau bisa fitur gratisnya tambahin lg ya 😁",bagus fitur gratis tambahin,5
good!!! saya tunggu Perkembangan fitur Terbaru min..,good tunggu kembang fitur baru,5
sangat bermanfaat dalam menunjang olahraga saya,manfaat tunjang olahraga,5
baikk,baikk,5
"Usahakan gps, pace, dan cadence lebih akurat",usaha pace cadence akurat,4
Udah bayar langganan tapi tidak bisa menggunakan fiturnya,bayar langgan fiturnya,2
sangat bermanfaat (mmk),manfaat,5
mohon di kembalikan uangnya ☺️☺️,mohon kembali uang,1
App yang sangat membantu dalam memantau aktifitas olahraga,bantu pantau aktifitas olahraga,5
sangat membantu aktivitas lari kami,bantu aktivitas lari,5
"bagus tapii kalo masuk pakai wifi langsung log out dan harus masukkan google lagi,jadi semua aktivitas kehapus",bagus tapi kalo masuk pakai wifi langsung masuk google lagijadi aktivitas hapus,3
Aplikasinya bagus. Terus ditingkatkan lagi.,aplikasi bagus tingkat,4
"kembalikan uang saya 600rb,karena saya tidak menyetujui itu",kembali uang rbkarena tuju,1
sangat membantu dalam proses sehatku,bantu proses sehat,4
Aplikasi Olahraga (Lari) Terbaik.,aplikasi olahraga lari baik,5
kadang GPS-nya error,kadang gpsnya error,4
"sorry to say yaaa, gue instal bukan karna gue suka sama aplikasinya, tolong dong uang istri gue tiba2 kepotong di spay dengan sendirinya, berlangganan enggak tiba2 saldo sebesar 550rb dipotong, tolong kebijakannya ya, gokil si sekelas bank yg aman bisa lu bobol!!! balikin ya!!! tolong kebijakannya.",sorry yaaa instal karna suka aplikasi tolong uang istri potong spay langgan saldo potong tolong bijak gokil kelas bank aman bobol balikin tolong bijak,1
mudah di gunakan,mudah,5
"tolong dong masa ini saya harus bayar 609.390 karna berlangganan katanya harus di bayar, sudah di tagih terus, padahal saya ga berlangganan apapun itu",tolong bayar karna langgan bayar tagih langgan,1
"tolong kembalikan uang saya 609,390 saya tidak merasa berlangganan di apk ini, TOLONG SEKALI LAGI KEMBALI UANG SAYA!!!",tolong kembali uang langgan aplikasi tolong uang,1
uang ku ketarik 606,uang tarik,1
gj aktivitas ilang semua,aktivitas ilang,1
Membantu dan memotivasi saya untuk berlari,bantu motivasi lari,5
"Tolong kembalikan saldo saya senilai Rp 609,saya tidak pernah bayar untuk beranggapan 1 tahun",tolong kembali saldo nila bayar anggap,1
hallo strava kenapa stava saya error terus ada tulisan kesalahan 403 tolong di perbaiki,hallo strava stava error tulis salah tolong baik,4
"yaalah balikin uang saya 609.000, demi allah ga pernh langganan",yaalah balikin uang allah pernh langgan,1
tiba tiba log out sendiri ga bisa masuk jadi harus ganti akun akun lama ilang dah tuh muncak ke gunung gunung ilang semua aktifitas lari renang percuma,masuk ganti akun akun ilang muncak gunung gunung ilang aktifitas lari renang,1
tidak bisa share hasil lari aneh kenapa ini bug kah? ada yg bisa ada yang tidak 😵‍💫😴,share hasil lari aneh,2
sayang sekali pembayaran hanya bisa pakai cc tdk ada opsi lain,sayang bayar pakai opsi,5
"all good, tapi kalo offline lebih bagus, jdi kaya peta nya di download gitu",good kalo offline bagus kaya peta download gitu,5
"udh capek lari 20 putaran di apk gk kerekam, malah cuma 2km",capek lari putar aplikasi rekam,1
server nya busuk,server busuk,1
"kebanyakan perintah login nya gak bisa padahal benar gak cocok di instal,buang² data aja aplikasi bodoh",banyak perintah login cocok instalbuang data aplikasi bodoh,1
strava tolong kembalikan uang saya 609.000. saya gk pernah berlangganan 1tahun dg strava. kenapa otomatis mengambil saldo saya di seabank. dasar app scam strava ini.,strava tolong kembali uang langgan strava otomatis ambil saldo seabank dasar scam strava,1
saya merasa sangat terbantu dengan aplikasi ini karna saya sebagai pelari nusantara sangat terbantu dengan apk ini,bantu aplikasi karna lari nusantara bantu aplikasi,5
membantu monitoring olah raga ..semoga aplikasi nya makin bagus,bantu monitoring olah raga moga aplikasi bagus,4
terimakasih aplikasi membantu target,terimakasih aplikasi bantu target,5
"selalu aja waktu nambah tapi km tetep diem, padahal saya nggak berhenti berhenti",nambah tetep diem henti henti,2
kereen..mencatat kegiatan olga secara detail,kereenmencatat giat olga detail,5
"tolong kembalikan dana sebesar Rp609.390 saya yang tiba tiba terpotong tanpa sepengetahuan saya, padahal saya tidak berlangganan sama sekali !!",tolong kembali dana potong tahu langgan,1
sangat sangat membantu menentukan waktu,bantu tentu,3
"strava, kenapa aplikasi saya d buat coba gratis... padahal saya tidak pernah nge klik trial?",strava aplikasi coba gratis klik trial,1
keren jd semangat olahraga,bagus semangat olahraga,5
tolong perbaiki strava saya sering logout sendiri lalu untuk login kembali terkadang tidak bisa terkadang bisa...,tolong baik strava logout login terkadang terkadang,4
uang 609.000 ilang. padahal ga sengaja langganan. tolong dikembaliin ya,uang ilang sengaja langgan tolong dikembaliin,3
ajg gara² apk ini uang gua kesedot dari google play tidak bisa balik,gara aplikasi uang sedot google play,1
"tolong kembalikan saldo saya 609,000k saya tidak pernah berlangganan di aplikasi strava tiba tiba bangun pagi saldo saya ke potong malah saldo buat bayar semester lagi yang ke potong tong strava di kembalikan saldo saya",tolong kembali saldo langgan aplikasi strava bangun pagi saldo potong saldo bayar semester potong tong strava kembali saldo,1
"apk nya bagus, cuma sayang harus berbayar itu aja si, overall good",aplikasi bagus sayang bayar overall good,5
kadang mapsnya error 😂,kadang mapsnya error,5
Saya suka sekali dgn aplikasi ini,suka aplikasi,5
"balikin uangku 600 ribu itu plis, jangan gitu dong strava 🥺🥺 aku ga merasa berlangganan sama kmu,aku harus nyari uang segitu kemana dalam 1 malam 🥺🥺🥺 ya Allah astagfirullah 🥺🥺🥺 balikin strava 🥺🙏🏼",balikin uang ribu plis gitu strava langgan kmuaku nyari uang segitu mana malam allah astagfirullah balikin strava,1
"tolong strava apakah pembayaran langanan bisa dicancel? saya tidak sengaja membeli langanan tersebut dengan sejumlah uang yang cukup banyak, apakah bisa dikembalikan 🥲 TOLONG..",tolong strava bayar langanan dicancel sengaja beli langanan uang kembali tolong,2
"kenapa tidak bisa login ya, sudah 3-4 hari seperti ini",login,4
"tolong akuratkan durasi dan KM nya, perbaiki kualitasnya ya",tolong akurat durasi baik kualitas,2
aplikasi nya tidak jelas tiba² narik uang orang dari dana melalui google supaya bisa mengubah jadi premium,aplikasi narik uang orang dana google ubah premium,1
"mantap, sangat menyemangati",mantap semangat,5
"kecewa banget sama aplikasi ini. main tarik uang di dana saya tidak pernah berlangganan selama setahun tiba tiba saldo nya kelotong sendiri 609 uang hasil kerja keras mbalah kepotong ,dan di jam itu juga saya tidak pegang hp tiba2 kebayar sendiri ,toling balikin uang saya kasian yang sudah ketipu sp aplikasi ini kecewa bangettt nyari uang gamudah mbalah diginiin udah pengajuan gabisa!!!!",kecewa banget aplikasi main tarik uang dana langgan tahun saldo lotong uang hasil kerja keras mbalah potong pegang bayar toling balikin uang kasi tipu aplikasi kecewa bangettt nyari uang gamudah mbalah diginiin gabisa,1
Aplikasi ini sangat membantu bangeeeet 👍🏻👍🏻👍🏻,aplikasi bantu bangeeeet,5
"kadang error ya kalau di pakein di android, jadi waktu total sama waktu kecepatannya beda 😭😭",kadang error pakein android total cepat beda,4
