username,review,casefolding,preprocessed_text,score,at,appversion
Rafael Siregar,kadang bisa rekam lari kadang nggak dasar aplikasi tolol,kadang bisa rekam lari kadang nggak dasar aplikasi tolol,kadang rekam lari kadang nggak dasar aplikasi tolol,1,2025-10-13 16:32:24,432.11
damar ABC,"Bagus banget, walau pakai yang gratisan juga... Moga aja tidak error lagi yaah....","bagus banget, walau pakai yang gratisan juga... moga aja tidak error lagi yaah....",bagus banget pakai gratis moga aja error yaah,5,2025-10-13 07:54:09,429.11
yusuf dahlan,bagus,bagus,bagus,5,2025-10-13 07:38:38,432.11
Muhammad Sabir,luar biasa,luar biasa,,5,2025-10-13 07:29:46,432.11
Codek Titan,"tolong kembalikan saldo dana saya yg di tarik sebesar Rp 609.390,00 karena saya tidak mengetahui pembayaran ini, mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini","tolong kembalikan saldo dana saya yg di tarik sebesar rp 609.390,00 karena saya tidak mengetahui pembayaran ini, mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini",tolong kembali saldo dana yg tarik rp bayar mohon bantu nya kembali saldo yg tarik dana langgan apk,1,2025-10-13 07:25:56,
Mohammad Syamsudin,klo bisa free semua 😃,klo bisa free semua 😃,klo free,5,2025-10-13 07:08:52,432.11
Agus firman jatniaman Gea,sangat bagus,sangat bagus,bagus,5,2025-10-13 07:05:33,432.11
fahri jie,aplikasi rusak saya tidak ingin berlangganan malah saldo saya langsung di potong tanpa konfirmasi saya,aplikasi rusak saya tidak ingin berlangganan malah saldo saya langsung di potong tanpa konfirmasi saya,aplikasi rusak langgan saldo langsung potong konfirmasi,1,2025-10-12 23:05:49,431.1
Muhammad Fawwaz Zahran,"gabisa di share, selalu error","gabisa di share, selalu error",gabisa share error,1,2025-10-12 18:27:00,432.11
dini nur,bagus saya vapek capek jogging setiap hari tidak kerekam sama sekali sama tidak bisa mendownload pace dan jarak nya tolong di perbaiki lagi ya strava,bagus saya vapek capek jogging setiap hari tidak kerekam sama sekali sama tidak bisa mendownload pace dan jarak nya tolong di perbaiki lagi ya strava,bagus vapek capek jogging rekam mendownload pace jarak nya tolong baik ya strava,5,2025-10-12 15:13:07,432.11
Nafi Eberta,The Strava server has encountered an error. Please contact support if the problem persists. tidak bisa masuk ke aplikasi,the strava server has encountered an error. please contact support if the problem persists. tidak bisa masuk ke aplikasi,the strava server has encountered an error please contact support if the problem persists masuk aplikasi,3,2025-10-12 14:05:15,
wisnoe noewis,"sering error, coba unistal dulu, tyt makin error... klo error lg ganti app lain","sering error, coba unistal dulu, tyt makin error... klo error lg ganti app lain",error coba unistal tyt error klo error lg ganti app,1,2025-10-12 09:13:21,432.11
CLied Pribadi,ini kenapa penghitungan langkah saat jalan ko sudah ndak ada lagi? kecewa banget sama strava skrg,ini kenapa penghitungan langkah saat jalan ko sudah ndak ada lagi? kecewa banget sama strava skrg,hitung langkah jalan ko ndak kecewa banget strava skrg,1,2025-10-12 08:35:12,432.11
Riki iswanto,apk ini sbnrnya bagus namun yg g bagusnya tetiba ada pemotongan berlangganan yg nyatane sya g berlangganan,apk ini sbnrnya bagus namun yg g bagusnya tetiba ada pemotongan berlangganan yg nyatane sya g berlangganan,apk sbnrnya bagus yg g bagus tetiba potong langgan yg nyatane sya g langgan,1,2025-10-12 08:30:28,
Hey Asri,mungkin bisa dibuatkan fitur interval,mungkin bisa dibuatkan fitur interval,buat fitur interval,5,2025-10-12 07:44:16,432.11
Dede Irwan,Yes mantap,yes mantap,yes mantap,5,2025-10-12 07:31:39,431.1
DAPOER AGIL,baik cukup,baik cukup,,5,2025-10-12 07:31:31,432.11
Nu ril,good,good,good,5,2025-10-12 07:27:15,432.11
Ardi Ansyahh,"Cocok buat lari, Dan sangat akurat","cocok buat lari, dan sangat akurat",cocok lari akurat,5,2025-10-12 07:19:54,432.11
hervi huda,mantap,mantap,mantap,5,2025-10-12 07:16:29,432.11
yan pongdatu,Baik,baik,,5,2025-10-12 07:08:44,431.1
Akmal Ghiyaatsmuzakki,bagus untuk melihat peforma olahraga,bagus untuk melihat peforma olahraga,bagus forma olahraga,5,2025-10-12 07:05:28,431.1
Fariq Ramadhan,aplikasi perjuangan,aplikasi perjuangan,aplikasi juang,5,2025-10-12 04:59:29,432.11
Pemuda Hijrah,apk tidak bisa login tolong di perbaiki!!!,apk tidak bisa login tolong di perbaiki!!!,apk login tolong baik,5,2025-10-11 21:44:32,433.8
Alfariz Firdaus,padahal baru donlod bagus bagus aj tapi makin kesini makin gajelas pdhal udh save tapi GK ada aktivitas terbarunya,padahal baru donlod bagus bagus aj tapi makin kesini makin gajelas pdhal udh save tapi gk ada aktivitas terbarunya,donlod bagus bagus aj kesini gajelas pdhal udh save gk aktivitas baru,1,2025-10-11 15:33:43,432.11
Arman Marunduh,mantap,mantap,mantap,5,2025-10-11 09:15:05,431.1
nanang mediya,oke,oke,oke,5,2025-10-11 08:50:24,432.11
Arif Wibowo,lebih bagus lagi kalo ada hitungan kalori,lebih bagus lagi kalo ada hitungan kalori,bagus kalo hitung kalori,5,2025-10-11 08:15:49,417.13
Rakaa A14,"aplikasi sering banget error, udh di start di sinyal hijau tapi pas finish malah ngaco hasil kilometer nya, tolong diperbaiki lah, masa saya udh sepedaan cape cape 100km++ tapi hasil nya di strava cuma 3km","aplikasi sering banget error, udh di start di sinyal hijau tapi pas finish malah ngaco hasil kilometer nya, tolong diperbaiki lah, masa saya udh sepedaan cape cape 100km++ tapi hasil nya di strava cuma 3km",aplikasi banget error udh start sinyal hijau pas finish ngaco hasil kilometer nya tolong baik udh sepeda cape cape km hasil nya strava km,1,2025-10-11 07:35:26,
M.syamsulbahri 12,kembalikan uang saya 600000,kembalikan uang saya 600000,kembali uang,1,2025-10-10 21:04:37,432.11
Ine Sofiati,"suka ngelag bjirr, kadang juga suka tiba-tiba keluar dari apk","suka ngelag bjirr, kadang juga suka tiba-tiba keluar dari apk",suka ngelag bjirr kadang suka tibatiba apk,2,2025-10-10 19:31:02,
roman roman,"selamat siang, mohon untuk kembalikan uang saya .. saya tidak pernah berlangganan setahun .. saya hanya berlangganan 1 bulan saja .. hari ini tgl 10 Oktober 2025 saldo di ATM saya ke potong sebesar 600 ribu rupiah .. intinya disini saya tidak ada langganan tahunan .. sebelum nya saya hanya langganan bulanan .. kalo mau potong saldo 1 bulanan saja gpp, jgn tiba-tiba di potong utk 1 tahun kedepan .. .terimakasih mohon untuk respon nya..","selamat siang, mohon untuk kembalikan uang saya .. saya tidak pernah berlangganan setahun .. saya hanya berlangganan 1 bulan saja .. hari ini tgl 10 oktober 2025 saldo di atm saya ke potong sebesar 600 ribu rupiah .. intinya disini saya tidak ada langganan tahunan .. sebelum nya saya hanya langganan bulanan .. kalo mau potong saldo 1 bulanan saja gpp, jgn tiba-tiba di potong utk 1 tahun kedepan .. .terimakasih mohon untuk respon nya..",selamat siang mohon kembali uang langgan tahun langgan tgl oktober saldo atm potong ribu rupiah inti langgan tahun nya langgan bulan kalo potong saldo bulan gpp jgn tibatiba potong utk depan terimakasih mohon respon nya,1,2025-10-10 11:10:09,432.11
Eden Zaini Niftah,aplikasi penyemangat..mantap,aplikasi penyemangat..mantap,aplikasi penyemangatmantap,5,2025-10-10 08:36:21,432.11
Dimas Arief,👍🔥🔥,👍🔥🔥,,5,2025-10-10 07:05:27,420.1
Reza Ferdiansyah,Memproses vidio ke story IG sangat lama tolong segera di perbaiki. Terimakasih,memproses vidio ke story ig sangat lama tolong segera di perbaiki. terimakasih,proses vidio story ig tolong baik terimakasih,2,2025-10-10 05:47:22,432.11
Eko Cahyo Setiawan,"Hampir 4 bulan ini aplikasi strava gabisa connect ke wifi dan selalu logout/error ketika di hubungkan ke wifi, kira2 disini ada yg sm kasusnya ga yaaa?","hampir 4 bulan ini aplikasi strava gabisa connect ke wifi dan selalu logout/error ketika di hubungkan ke wifi, kira2 disini ada yg sm kasusnya ga yaaa?",aplikasi strava gabisa connect wifi logouterror hubung wifi yg sm kasus ga yaaa,3,2025-10-09 23:41:27,432.11
Puput Maspuhani,blm di gunakan,blm di gunakan,blm,4,2025-10-09 17:24:40,427.12
Fathir Ahmad,aplikasi saat dipakai tidak bisa login,aplikasi saat dipakai tidak bisa login,aplikasi pakai login,1,2025-10-09 16:41:20,432.11
TusIman Tusiman,bagus si tapi kok ada penagihan padahal aku cuma uji coba 7 hari tolong lah di benerin ini ada tagihan terus dari dana,bagus si tapi kok ada penagihan padahal aku cuma uji coba 7 hari tolong lah di benerin ini ada tagihan terus dari dana,bagus si tagih uji coba tolong benerin tagih dana,2,2025-10-09 13:39:58,
InDiRa ARieF FaNY,ga bisa masuk eror trus,ga bisa masuk eror trus,ga masuk eror trus,2,2025-10-09 08:16:35,432.11
Azwar Mudzakkir,kadang susah ipdate data hasil dr smart watch,kadang susah ipdate data hasil dr smart watch,kadang susah ipdate data hasil dr smart watch,3,2025-10-09 07:06:32,431.1
Shela Nurpadilah,aplikasi aneh masa aku gbisa login pake email pake Facebook,aplikasi aneh masa aku gbisa login pake email pake facebook,aplikasi aneh gbisa login pake email pake facebook,1,2025-10-09 06:35:48,
Wiwin Retna eppata,ok,ok,ok,5,2025-10-09 00:31:37,431.1
Ichaa Ca,kecewa bangat sama aplikasi ini uang aku di sedot 600 rb,kecewa bangat sama aplikasi ini uang aku di sedot 600 rb,kecewa bangat aplikasi uang sedot rb,1,2025-10-08 18:14:29,431.1
Rahmat Hidayatullah,"aplikasi yg hanya menguntungkan pengguna iPhone,pengguna android suka ngelag gps nya, zig-zag dan tidak akurat","aplikasi yg hanya menguntungkan pengguna iphone,pengguna android suka ngelag gps nya, zig-zag dan tidak akurat",aplikasi yg untung guna iphonepengguna android suka ngelag gps nya zigzag akurat,2,2025-10-08 16:24:57,431.1
Aprlianti nurmia,taiiii babi kasih kembali uang saya kgkgbabiiiii,taiiii babi kasih kembali uang saya kgkgbabiiiii,taiiii babi kasih uang kgkgbabiiiii,1,2025-10-08 14:19:08,431.1
Bagus Dwi Pribadi,mantab,mantab,mantab,3,2025-10-08 09:58:15,431.1
Catriyan Dimas,rekomend bet buat olahraga gak akan nyesel pakenya😁🤗,rekomend bet buat olahraga gak akan nyesel pakenya😁🤗,rekomend bet olahraga gak nyesel pakenya,5,2025-10-08 09:21:23,424.12
Arima Company,server error terus,server error terus,server error,4,2025-10-08 08:16:49,431.1
Tomi Hidayat Adipalopo,good aplikasi utk olahraga.,good aplikasi utk olahraga.,good aplikasi utk olahraga,5,2025-10-08 08:05:11,430.12
manda djumala,masih perlu ditingkatkan menjadi aplikasi non langganan,masih perlu ditingkatkan menjadi aplikasi non langganan,tingkat aplikasi non langgan,4,2025-10-08 07:41:22,431.1
Mishbachul Munir,Alhamdulillah.. Mantap Aplikasi Strava. Terus Maju dan Berkembang Dalam Menciptakan Sebuah Karya.. Hebat Strava,alhamdulillah.. mantap aplikasi strava. terus maju dan berkembang dalam menciptakan sebuah karya.. hebat strava,alhamdulillah mantap aplikasi strava maju kembang cipta karya hebat strava,5,2025-10-08 07:32:32,432.11
Boy Saputra,"Tolong Refund 609.930,saya tidak pernah menyetujui pembayaran lewat aplikasi dana, tapi kenap dipotong otomatis, seharusnya pembayaran ada verifikasi dari pengguan Dana, ini gak ada sama sekali, tiba2 saldo udah kepotong. tolong kembalikan saldo Dana saya","tolong refund 609.930,saya tidak pernah menyetujui pembayaran lewat aplikasi dana, tapi kenap dipotong otomatis, seharusnya pembayaran ada verifikasi dari pengguan dana, ini gak ada sama sekali, tiba2 saldo udah kepotong. tolong kembalikan saldo dana saya",tolong refund tuju bayar aplikasi dana kenap potong otomatis bayar verifikasi pengguan dana gak saldo udah potong tolong kembali saldo dana,1,2025-10-08 07:24:04,431.1
Muhlis Fiko,sangat membantu,sangat membantu,bantu,5,2025-10-08 07:17:23,431.1
chizhie arhan,Suka dan akurat,suka dan akurat,suka akurat,5,2025-10-08 07:06:34,427.12
Shiva Syafi'i,"bug jarak dan kecepatan tidak akurat, langganan pun percuma","bug jarak dan kecepatan tidak akurat, langganan pun percuma",bug jarak cepat akurat langgan,1,2025-10-08 06:52:12,430.12
Bunarante Bunarante,aplikasi pencuri dana,aplikasi pencuri dana,aplikasi curi dana,1,2025-10-07 23:35:28,431.1
Akhmad Fadlan Syafiq,"sebenarnya fiturnya udh bagus,cuman fitur yang tadinya gratis sekarang harus proo,saya berharap fitur yang tadinya gratis untuk update selanjutnya di buka lagi.jadi jangn serba premium pliss ini MH🙏🙏","sebenarnya fiturnya udh bagus,cuman fitur yang tadinya gratis sekarang harus proo,saya berharap fitur yang tadinya gratis untuk update selanjutnya di buka lagi.jadi jangn serba premium pliss ini mh🙏🙏",fiturnya udh baguscuman fitur gratis proosaya harap fitur gratis update buka lagijadi jangn serba premium pliss mh,3,2025-10-07 21:44:24,431.1
Lest nanzz,"Tolonglah saya gak bisa login, sudah diulang ulang tetep gak bisa login, jadi tolong perbaiki sistem nya..🤝","tolonglah saya gak bisa login, sudah diulang ulang tetep gak bisa login, jadi tolong perbaiki sistem nya..🤝",tolong gak login ulang ulang tetep gak login tolong baik sistem nya,1,2025-10-07 16:08:42,
Yayan Yan,aplikasi tidak dapat di pake,aplikasi tidak dapat di pake,aplikasi pake,1,2025-10-07 15:08:29,
Benny Dibya,mantap n detail.,mantap n detail.,mantap n detail,5,2025-10-07 11:20:07,425.11
Lindyawati Taslim,aplikasi rekomended,aplikasi rekomended,aplikasi rekomended,5,2025-10-07 08:50:16,431.1
Fahri Migdad j,"mantap banget,cumaa agak error strava nyaaa mantappp cokk","mantap banget,cumaa agak error strava nyaaa mantappp cokk",mantap bangetcumaa error strava nyaaa mantappp cokk,5,2025-10-07 07:35:09,431.1
Ajeng Gustian,mantapp,mantapp,mantapp,5,2025-10-07 07:28:25,428.12
Arpi Syahri,keren,keren,keren,5,2025-10-07 07:06:30,431.1
Arya Nawaf,min strava tolong kembalikan uang saya karena saya tidak sengaja membeli langganan tahunan,min strava tolong kembalikan uang saya karena saya tidak sengaja membeli langganan tahunan,min strava tolong kembali uang sengaja beli langgan tahun,2,2025-10-07 06:26:10,430.12
Jumiati Saddah,aplikasi tidak berguna. saya sdh berlangganan 1 th tp tidak bisa digunakan. sudah gitu dana tidak bisa dikembalikan juga.,aplikasi tidak berguna. saya sdh berlangganan 1 th tp tidak bisa digunakan. sudah gitu dana tidak bisa dikembalikan juga.,aplikasi guna sdh langgan th tp gitu dana kembali,1,2025-10-06 19:59:35,
I'm AM,Strava sangat bagus,strava sangat bagus,strava bagus,5,2025-10-06 09:01:07,431.1
Budiawan Novari,Aplikasinya Ok. untuk memantau progress olahraga kita,aplikasinya ok. untuk memantau progress olahraga kita,aplikasi ok pantau progress olahraga,5,2025-10-06 07:47:29,431.1
Haiqal Nih boss,"aplikasi yang menemani saya saat olahraga lari, cocok untuk pemula yang ingin berolahraga untuk kesehatan","aplikasi yang menemani saya saat olahraga lari, cocok untuk pemula yang ingin berolahraga untuk kesehatan",aplikasi tani olahraga lari cocok mula olahraga sehat,5,2025-10-06 07:41:54,
Tari Lestari,bermanfaat untuk larii,bermanfaat untuk larii,manfaat lari,5,2025-10-06 07:25:57,431.1
Bang Daut,sangat membantu apapun jenis olahraga nya... strava memang mantappp... 👍👍👍,sangat membantu apapun jenis olahraga nya... strava memang mantappp... 👍👍👍,bantu apa jenis olahraga nya strava mantappp,5,2025-10-06 07:09:58,431.1
Lidya Khadijah,"kurang bagus 2kali garis mapsnya ntah kemana mana padahal sinyal aman gps aman eh malah sampe malaysia garis lari saya, tolong pacemya diperbaiki masa saya jaln.pace 7","kurang bagus 2kali garis mapsnya ntah kemana mana padahal sinyal aman gps aman eh malah sampe malaysia garis lari saya, tolong pacemya diperbaiki masa saya jaln.pace 7",bagus kali garis mapsnya ntah mana sinyal aman gps aman eh sampe malaysia garis lari tolong pacemya baik jalnpace,1,2025-10-06 06:15:23,
tasya ratna,tolong kembalikan uang saya senilai 609.000 demi kenyamanan bersama kk. uang sy tiba2 ke transaksi sendiri jam 12 malam,tolong kembalikan uang saya senilai 609.000 demi kenyamanan bersama kk. uang sy tiba2 ke transaksi sendiri jam 12 malam,tolong kembali uang nila nyaman kk uang sy transaksi jam malam,2,2025-10-06 05:09:14,431.1
Ajid azizi,signal gps selalu eror hasil track running saya parah. padahal saya tinggal di tengah-tengah kota yg memungkinkan sinyal stabil. paraaaah,signal gps selalu eror hasil track running saya parah. padahal saya tinggal di tengah-tengah kota yg memungkinkan sinyal stabil. paraaaah,signal gps eror hasil track running parah tinggal tengahtengah kota yg sinyal stabil paraaaah,1,2025-10-05 23:23:47,431.1
Nurul Choiri,"tidak bisa login, server strava mengalami kesalahan","tidak bisa login, server strava mengalami kesalahan",login server strava alami salah,1,2025-10-05 21:03:26,431.1
Stok akun Hendra,saya kasih bintang 3 dlu soalnya knpa ketika mau di share malah yang keluar kenaikan elev bukan pace yang saya mau liat itu pace bukan kenaikan elev itu ga penting nanti kalo udah bener saya kasi bintang 5 kalo udah diganti lagi jadi pace bukan kenaikan elev,saya kasih bintang 3 dlu soalnya knpa ketika mau di share malah yang keluar kenaikan elev bukan pace yang saya mau liat itu pace bukan kenaikan elev itu ga penting nanti kalo udah bener saya kasi bintang 5 kalo udah diganti lagi jadi pace bukan kenaikan elev,kasih bintang dlu knpa share naik elev pace liat pace naik elev ga kalo udah bener kasi bintang kalo udah ganti pace naik elev,3,2025-10-05 19:35:05,
Anila Keswari,semakin lama semakin ngaco. sering banget eror mohon dong di perbaiki. udah di start dalam posisi sinyal hijau. Uda cape cape lari tau nya ga jalan aplikasi nya. kan bga asik bgt,semakin lama semakin ngaco. sering banget eror mohon dong di perbaiki. udah di start dalam posisi sinyal hijau. uda cape cape lari tau nya ga jalan aplikasi nya. kan bga asik bgt,ngaco banget eror mohon baik udah start posisi sinyal hijau uda cape cape lari tau nya ga jalan aplikasi nya bga asik bgt,1,2025-10-05 16:52:19,430.12
keyya,dinda bisa pace 2.45,dinda bisa pace 2.45,dinda pace,5,2025-10-05 15:53:00,
dndi brkhhh,"uang saya sebesar 609 ribu di dana hilang di hisap aplikasi ini, tolong di kembalikan","uang saya sebesar 609 ribu di dana hilang di hisap aplikasi ini, tolong di kembalikan",uang ribu dana hilang hisap aplikasi tolong kembali,1,2025-10-05 12:25:42,431.1
nur chamid,cukup membantu kita untuk mengetahui progres latihan,cukup membantu kita untuk mengetahui progres latihan,bantu progres latih,5,2025-10-05 08:17:17,431.1
Haris Safitri,"Bantu kak, cara ubah dari jarak mil ke KM","bantu kak, cara ubah dari jarak mil ke km",bantu kak ubah jarak mil km,5,2025-10-05 08:17:10,431.1
Bang Jae Official,mantul,mantul,mantul,5,2025-10-05 08:16:21,431.1
Chely “Veyo” Veronica,keren aplikasinya...,keren aplikasinya...,keren aplikasi,5,2025-10-05 07:42:37,429.11
yogi indra,sangat membantu untuk hidup sehat.....,sangat membantu untuk hidup sehat.....,bantu hidup sehat,5,2025-10-05 07:26:22,428.12
wiro adikusuma,ok,ok,ok,5,2025-10-05 06:11:36,431.1
Chenedy Emor,sudah aktifkan lokasi tetap tidak jadi,sudah aktifkan lokasi tetap tidak jadi,aktif lokasi,1,2025-10-05 05:20:37,431.1
Lucky Gates,"Tolong teknisi strava, saya udah capek-capek gowes kadang rute tidak terekam, seluruh opsi latar belakang sudah di aktifkan agar memperlancar perekaman rute saat bersepeda. tetapi, masih di temukan rute yang tidak terekam, dan ini terjadi tidak 100 atau 300 meter. tetapi, beberapa kilometer 🥲.","tolong teknisi strava, saya udah capek-capek gowes kadang rute tidak terekam, seluruh opsi latar belakang sudah di aktifkan agar memperlancar perekaman rute saat bersepeda. tetapi, masih di temukan rute yang tidak terekam, dan ini terjadi tidak 100 atau 300 meter. tetapi, beberapa kilometer 🥲.",tolong teknisi strava udah capekcapek gowes kadang rute rekam opsi latar aktif lancar rekam rute sepeda temu rute rekam meter kilometer,5,2025-10-04 22:27:59,431.1
Arya Ardani,sigma,sigma,sigma,5,2025-10-04 19:41:56,430.12
Marsudi Wibowo,"saya menggunakan yg gratis kok pernah ada tagihan via email sebesar Rp 600.000, saya yakin bok..aabok..tak iyyye ya saya abaikan, llla kok enak nyari duwit dg cara malak tanpa berkeringat","saya menggunakan yg gratis kok pernah ada tagihan via email sebesar rp 600.000, saya yakin bok..aabok..tak iyyye ya saya abaikan, llla kok enak nyari duwit dg cara malak tanpa berkeringat",yg gratis tagih via email rp bokaaboktak iyyye ya abai llla enak nyari duwit dg malak keringat,4,2025-10-04 13:13:55,430.12
Temmy Kristof Regulus Silooy,good..salam sehat,good..salam sehat,goodsalam sehat,5,2025-10-04 08:49:59,431.1
zann cupu :v,well,well,well,5,2025-10-04 08:25:09,431.1
Novian Susanto,terukur jadi nya,terukur jadi nya,ukur nya,5,2025-10-04 07:44:22,431.1
ARIF SETIAWAN,membantu manajemen olahraga,membantu manajemen olahraga,bantu manajemen olahraga,5,2025-10-04 07:32:58,430.12
Hadi Susanto,ok,ok,ok,5,2025-10-04 07:31:36,431.1
Akun Baru,baguss,baguss,baguss,5,2025-10-04 07:10:16,429.11
Awank Dhany,ok,ok,ok,4,2025-10-04 06:32:57,431.1
Hary,"saldo dana saya di ambil otomatis sama app strava ini padahal saya tidak mengaktifkan berlagganan dan saya tidak menggunakan app ini..tolong kembalikan saldo saya sebesar 609,930..sangat kecewa sangat merugikan sekali tolong bisa di tindak lanjuti secepatnya","saldo dana saya di ambil otomatis sama app strava ini padahal saya tidak mengaktifkan berlagganan dan saya tidak menggunakan app ini..tolong kembalikan saldo saya sebesar 609,930..sangat kecewa sangat merugikan sekali tolong bisa di tindak lanjuti secepatnya",saldo dana ambil otomatis app strava aktif berlagganan app initolong kembali saldo kecewa rugi tolong tindak lanjut cepat,1,2025-10-04 00:07:02,431.1
Indah Radiska,"agak kecewa krn di versi yg terbaru ini utk jalan kaki udh gak mengukur per langkah lagi tapi pake elevasi ketinggian, begitu juga dgn olahraga lari pace cepet tpi hitungannya tetep lambat dan pengukuran jaraknya juga kadang ngawur","agak kecewa krn di versi yg terbaru ini utk jalan kaki udh gak mengukur per langkah lagi tapi pake elevasi ketinggian, begitu juga dgn olahraga lari pace cepet tpi hitungannya tetep lambat dan pengukuran jaraknya juga kadang ngawur",kecewa krn versi yg baru utk jalan kaki udh gak ukur langkah pake elevasi tinggi dgn olahraga lari pace cepet tpi hitung tetep lambat ukur jarak kadang ngawur,2,2025-10-03 23:18:21,
Anugerah Ponsel,sanggat bagu dan tepat,sanggat bagu dan tepat,sanggat bagu,5,2025-10-03 22:25:02,
Agil Sinaga,"yaTuhan tolong kembalikan saldo dana saya... saya tidak sengaja atau ke pencet.. tiba tiba saldo saya kesedot dan dikatakan ada berlangganan tolong kembalikan saldo saya sebesar 609,390.00 tolong saya mohon","yatuhan tolong kembalikan saldo dana saya... saya tidak sengaja atau ke pencet.. tiba tiba saldo saya kesedot dan dikatakan ada berlangganan tolong kembalikan saldo saya sebesar 609,390.00 tolong saya mohon",yatuhan tolong kembali saldo dana sengaja pencet saldo sedot langgan tolong kembali saldo tolong mohon,1,2025-10-03 18:29:27,431.1
Bill A,"tolong kembalikan dana saya, gak pernah langganan tiba tiba kesedot 690.390 anjg""","tolong kembalikan dana saya, gak pernah langganan tiba tiba kesedot 690.390 anjg""",tolong kembali dana gak langgan sedot anjg,1,2025-10-03 16:00:33,
Wong Stres,saya ingin pengajuan pembatalan paket namun tidak diterima,saya ingin pengajuan pembatalan paket namun tidak diterima,aju batal paket terima,1,2025-10-03 10:59:36,431.1
Dwika Yulia Rahmawati,kecewa,kecewa,kecewa,1,2025-10-03 08:07:35,
Agung Darma,taman setia setiap saat cri kringat.. mantap,taman setia setiap saat cri kringat.. mantap,taman setia cri kringat mantap,5,2025-10-03 07:49:54,431.1
Nafiul Ilmi,sangat membantu,sangat membantu,bantu,5,2025-10-03 07:40:43,431.1
Budi Dava,bikin olahraga tambah keren tambah semangat,bikin olahraga tambah keren tambah semangat,bikin olahraga keren semangat,5,2025-10-03 07:38:32,407.1
RTP Channel,aplikasi saat di record long run. sering keluar sendiri,aplikasi saat di record long run. sering keluar sendiri,aplikasi record long run,2,2025-10-03 07:28:35,427.12
Bakso Pikul Mas Bowo,sangat membantu optimasi latihan,sangat membantu optimasi latihan,bantu optimasi latih,5,2025-10-03 07:12:10,429.11
